lagoslakeid,lake_nhdid,lake_nets_upstreamlake_km,lake_nets_downstreamlake_km,lake_nets_bidirectionallake_km,lake_nets_upstreamlake_n,lake_nets_downstreamlake_n,lake_nets_lakeorder,lake_nets_lnn,net_id,net_lakes_n,net_averagelakedistance_km,net_averagelakearea_ha,lake_nets_nearestdamdown_km,lake_nets_nearestdamdown_id,lake_nets_totaldamdown_n,lake_nets_nearestdamup_km,lake_nets_nearestdamup_id,lake_nets_totaldamup_n,lake_nets_damonlake_flag,lake_nets_multidam_flag,net_dams_n,nhdplusv2_comid
27246,132876139,NA,NA,13.447,0,0,1,1,402,2,13.447,4.561,NA,NA,0,NA,NA,0,N,N,0,15448096
26259,52532733,NA,124.884,5.2,0,1,0,1,53,338,58.776,404.059,0,33254,3,NA,NA,0,Y,N,170,10313002
6415,52532909,7.603,117.55,7.603,1,1,1,2,53,338,58.776,404.059,0,32756,3,NA,NA,0,Y,N,170,10313022
62636,92083097,0.062,2.118,0.062,1,1,1,3,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,9527739
18788,92083601,NA,1.069,1.069,0,1,0,1,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,10312126
58516,92083167,5.317,4.791,4.791,1,1,2,3,53,338,58.776,404.059,0,33251,1,5.317,33250,1,Y,N,170,10311222
10518,131846580,1.172,30.007,1.172,4,1,3,3,29,736,162.652,51.934,0,32400,1,NA,NA,0,Y,N,126,15510136
67847,131843435,1.296,8.466,1.296,18,1,5,7,29,736,162.652,51.934,0,32408,2,NA,NA,0,N,N,126,166890766
108136,132859152,NA,4.156,4.156,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15476483
73981,150679585,2.247,0.068,0.068,8,1,4,4,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15468377
138960,132436509,2.252,6.668,2.252,6,1,3,3,29,736,162.652,51.934,1.858,32367,1,NA,NA,0,N,N,126,15466283
48175,150563206,0.239,0.123,0.123,5,1,4,7,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,9523497
32472,129690994,0.199,1.482,0.199,3,1,2,3,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,9523395
7304,132876320,NA,13.578,13.578,0,1,2,1,135,24,26.357,32.216,NA,NA,0,NA,NA,0,N,N,6,15448110
7437,132876003,4.556,NA,4.556,1,0,3,3,361,7,7.459,186.721,13.076,33346,2,NA,NA,0,N,N,2,15448036
56427,167248136,NA,NA,5.495,0,0,2,1,29,736,162.652,51.934,11.459,32884; 33357,7,NA,NA,0,N,N,126,15490628
20876,133098651,NA,NA,10.589,0,0,2,1,29,736,162.652,51.934,39.019,33354,9,NA,NA,0,N,N,126,15490740
131783,133098794,NA,NA,1.741,0,0,1,1,29,736,162.652,51.934,43.677,33354,9,NA,NA,0,N,N,126,15490794
109222,133098522,NA,NA,8.44,0,0,1,1,29,736,162.652,51.934,43.056,33354,9,NA,NA,0,N,N,126,15490704
64779,133098938,NA,NA,6.191,0,0,0,1,29,736,162.652,51.934,26.938,32387,10,NA,NA,0,N,N,126,15490862
57478,131846561,NA,1.001,1.001,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15512300
25189,133099062,NA,NA,11.357,0,0,2,1,29,736,162.652,51.934,32.065,32387,10,NA,NA,0,N,N,126,15490914
101990,133098835,NA,NA,10.048,0,0,1,1,29,736,162.652,51.934,50.613,33354,9,NA,NA,0,N,N,126,15490826
93854,131845717,NA,7.036,3.757,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15512166
117420,167298321,NA,3.714,3.714,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15512094
65792,133099422,NA,1.974,1.974,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15494530
52343,132859676,NA,0.839,0.839,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15477925
21965,131846760,NA,18.894,13.014,0,1,0,1,29,736,162.652,51.934,17.92,32419,1,NA,NA,0,N,N,126,15516848
89756,131845645,NA,6.205,3.416,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15512170
82371,132858821,NA,0.528,0.528,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15477559
60547,133099421,2.365,NA,2.365,1,0,2,3,29,736,162.652,51.934,61.592,32387,10,NA,NA,0,N,N,126,15494544
65788,133099204,NA,2.589,2.245,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15491006
56425,131846863,NA,29.529,15.806,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15516038
33445,133099292,NA,4.674,3.409,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15493526
117438,131841480,NA,0.254,0.254,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15509524
45048,131846798,NA,34.119,14.081,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15516002
40870,131841591,NA,2.861,2.861,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15509556
82377,133098836,NA,20.89,11.766,0,1,1,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15489436
111250,131842869,NA,7.581,7.581,0,1,1,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15509640
32460,131844584,NA,0.056,0.056,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15509832
64770,133098754,NA,2.113,2.113,0,1,1,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15489412
112334,131843304,0.534,3.007,0.534,2,1,2,2,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15509724
110200,131842438,3.416,4.497,3.416,2,1,2,2,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15509604
123805,132859648,NA,7.208,7.208,0,1,1,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15476547
13598,132435897,0.922,3.816,0.922,1,1,2,2,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15466355
117417,132437679,NA,7.811,7.811,0,1,3,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15468635
82369,135270756,NA,NA,19.358,0,0,1,1,207,83,95.804,29.386,NA,NA,0,NA,NA,0,N,N,8,15454554
35544,129691025,NA,1.25,1.25,0,1,0,1,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,9523467
95888,129691085,NA,0.688,0.688,0,1,0,1,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,9523581
39816,129690983,NA,0.108,0.108,0,1,0,1,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,9523453
134886,135270577,NA,3.155,3.155,0,1,1,1,207,83,95.804,29.386,NA,NA,0,NA,NA,0,N,N,8,15454520
26227,135271564,NA,0.981,0.981,0,1,1,1,207,83,95.804,29.386,NA,NA,0,NA,NA,0,N,N,8,22303111
48162,135271498,NA,0.142,0.142,0,1,0,1,207,83,95.804,29.386,NA,NA,0,NA,NA,0,N,N,8,9523341
131775,135271058,NA,6.459,2.77,0,1,0,1,207,83,95.804,29.386,NA,NA,0,NA,NA,0,N,N,8,15454780
78185,135270800,NA,5.257,4.719,0,1,0,1,207,83,95.804,29.386,NA,NA,0,NA,NA,0,N,N,8,15454636
69901,129691013,NA,2.894,2.894,0,1,1,1,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,9523539
94875,135271277,NA,0.688,0.688,0,1,1,1,207,83,95.804,29.386,NA,NA,0,NA,NA,0,N,N,8,15457272
57490,129690823,NA,0.089,0.089,0,1,3,1,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,120052874
137939,129690773,0.069,73.821,0.069,4,1,3,3,53,338,58.776,404.059,35.249,32727,6,1.053,32735,1,N,N,170,9522055
115361,115353841,NA,77.601,16.544,0,1,2,1,53,338,58.776,404.059,29.416,32747,3,NA,NA,0,N,N,170,9528989
37680,115353909,NA,0.129,0.129,0,1,0,1,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,9527685
66826,129690614,NA,49.738,20.077,0,1,0,1,53,338,58.776,404.059,11.166,32727,6,NA,NA,0,N,N,170,9521005
88718,115353493,NA,55.682,16.573,0,1,0,1,53,338,58.776,404.059,15.988,33696,3,NA,NA,0,N,N,170,9527267
39809,92083525,NA,5.675,5.675,0,1,0,1,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,10312044
122766,52532681,0.023,125.812,0.023,1,1,1,2,53,338,58.776,404.059,36.505,33253,2,NA,NA,0,N,N,170,10312996
27272,92083367,1.975,9.851,1.975,1,1,2,2,53,338,58.776,404.059,0,32752,1,NA,NA,0,N,N,170,10311638
100975,92083247,0.174,1.568,0.174,1,1,2,3,53,338,58.776,404.059,0,32749,1,0.174,33249,1,Y,N,170,10311268
43047,92082313,NA,30.904,12.857,0,1,1,1,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,9527637
37678,92083613,NA,90.682,12.011,0,1,0,1,53,338,58.776,404.059,16.277,33706,1,NA,NA,0,N,N,170,10312140
6973,131860521,0.774,18.409,0.774,1,1,2,3,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15483247
113292,133098286,NA,NA,19.375,0,0,0,1,29,736,162.652,51.934,13.623,32884; 33357,7,NA,NA,0,N,N,126,15490436
7145,131844719,0.258,31.297,0.258,6,1,3,5,29,736,162.652,51.934,20.117,33365,1,NA,NA,0,N,N,126,15509818
16636,132436462,0.135,1.936,0.135,2,1,2,2,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15466377
17681,133098589,NA,NA,3.82,0,0,0,1,29,736,162.652,51.934,70.95,32376,3,NA,NA,0,N,N,126,15490538
16639,132859203,NA,52.784,52.674,0,1,0,1,29,736,162.652,51.934,70.913,32874,2,NA,NA,0,N,N,126,15477641
