lagoslakeid,lake_glaciatedlatewisc,lake_lat_decdeg,lake_lon_decdeg,lake_huc12,ws_area_ha,ws_lake_arearatio
2973,Glaciated,45.42135371,-94.07482129,70102030102,220.2439,17.48505
462,Glaciated,46.66001333,-94.04414951,70101050601,87.97571,1.342028
1478,Glaciated,44.96397262,-94.04070058,70102050306,4421.57,29.62923
97093,Glaciated,45.04039008,-94.01546642,70102040605,305.6801,7.862939
90882,Glaciated,45.34281328,-94.02239107,70102030602,18.72238,3.037117
3003,Glaciated,46.50138432,-94.01442097,70101040503,116.4678,3.684272
3653,Glaciated,46.62988098,-94.01109804,70101050504,275.0856,2.247166
130550,Glaciated,46.71846962,-94.01295494,70101050601,328.1003,6.986967
41046,Glaciated,46.800375,-94.01822431,70101050304,109.8226,3.001676
4035,Glaciated,45.07096525,-93.99657547,70102040605,1832.709,13.52659
49372,Glaciated,45.28730307,-93.99383719,70102030602,149.447,1.816522
1497,Glaciated,45.33296953,-94.00169522,70102030602,415.9541,4.620421
99145,Glaciated,46.7398278,-94.00979774,70101050304,136.3483,7.908075
2817,Glaciated,45.25305457,-93.99152595,70102030602,1231.994,16.20003
63894,Glaciated,46.76537733,-93.98610894,70101050302,452.2569,11.24371
4215,Glaciated,47.08460948,-93.97207506,70101020405,899.0157,5.441723
101169,Glaciated,46.41529053,-93.95945857,70101040601,80.5441,3.455725
125090,Glaciated,46.54964603,-93.95113769,70101040406,517.4224,15.20045
77260,Glaciated,46.92431234,-93.95999624,70101030802,460.2054,21.1641
42197,Glaciated,47.12220596,-93.9474794,70101020603,597.3438,4.001393
30484,Glaciated,46.82076307,-93.93436733,70101050302,641.9068,7.284868
107342,Glaciated,46.95046012,-93.89737285,70101030803,2003.458,87.82476
3852,Glaciated,45.13425512,-93.88752348,70102040609,243.1023,10.42121
139844,Glaciated,46.58271018,-93.88875249,70101040405,303.3246,10.0154
44250,Glaciated,46.65425829,-93.89024527,70101040405,168.5727,15.44017
50377,Glaciated,47.08991702,-93.90022024,70101030801,189.7303,20.42368
32606,Glaciated,46.26237848,-93.85721687,70102070105,975.5162,4.652881
83632,Glaciated,47.05006706,-93.87213365,70101030803,1415.505,13.2191
49329,Glaciated,46.50442046,-93.83790623,70101040403,78.4699,5.069324
49370,Glaciated,45.26396935,-93.8245439,70102040702,241.5449,22.73345
18972,Glaciated,46.71412503,-93.82330119,70101050503,124.9403,4.801757
20003,Glaciated,46.48005526,-93.77552702,70101040403,231.6526,25.97746
3758,Glaciated,45.33871953,-93.75419536,70102030505,367.5733,3.712613
1147,Glaciated,45.17304054,-93.74325727,70102040702,262.9833,2.188897
