lagoslakeid,lake_nhdid,lake_glaciatedlatewisc,lake_lat_decdeg,lake_lon_decdeg,lake_huc12,ws_area_ha,ws_lake_arearatio
47967,111861611,Glaciated,45.9612740608,-88.3675242706,040301060503,391.5195708,27.06153138
54288,75475157,Glaciated,45.631470838,-88.3629532204,040301080601,648.292891,71.81053939
2355,111861517,Glaciated,45.9837272878,-88.3319322076,040301060409,1129.790323,25.48977655
115192,76155587,Glaciated,45.5306786035,-88.3104801367,040301050208,178.0950313,22.19262662
31273,68839279,Glaciated,45.0284194824,-88.3010112355,040301040402,551.3547366,87.62031584
3730,75475161,Glaciated,45.6269247917,-88.2589133966,040301080601,47.60137989,1.241603926
4404,76157287,Glaciated,45.0438958566,-88.233597995,040301050505,264.4307668,2.739018088
101842,75474347,Glaciated,45.7568250369,-88.2398446392,040301080703,159.9167724,25.49196066
125784,139261041,Glaciated,43.7299676104,-88.2289437746,040301010901,516.8580896,6.729584452
28062,68839243,Glaciated,45.0307015881,-88.23460384,040301040402,33.08840472,2.069898478
2413,68839245,Glaciated,45.0301503154,-88.2233380564,040301040402,29.85966924,2.388559201
128792,139260728,Glaciated,43.860215704,-88.2211543474,040301011103,622.7903168,93.65718292
5096,68838995,Glaciated,45.1735146522,-88.1961700764,040301040301,39.1456178,1.869888688
54286,110734675,Glaciated,46.551444646,-88.1728811631,040301070106,610.3732442,50.29796513
13438,110734465,Glaciated,46.6029031642,-88.1837318139,040301070102,1346.375068,9.285805752
2996,75472995,Glaciated,45.9141442816,-88.1641360883,040301080701,413.1190412,44.80219519
1218,76156081,Glaciated,45.391239418,-88.1097569981,040301050302,640.2806986,24.99170278
66669,75475771,Glaciated,45.4904509684,-88.1240473282,040301080602,164.2474825,32.00101602
119396,75475759,Glaciated,45.4937481588,-88.1123446673,040301080602,9.202287139,2.289830378
42863,75475685,Glaciated,45.5137336624,-88.1100848263,040301080602,70.75220953,10.14644775
76967,75473423,Glaciated,45.8701620634,-88.125955195,040301080209,108.0256747,17.87224934
123629,75475623,Glaciated,45.5319859918,-88.1031296518,040301080603,118.0068195,21.7999137
3234,75475173,Glaciated,45.6179361133,-88.1085381877,040301080605,102.5906167,10.06838305
45919,110735633,Glaciated,46.3139023004,-88.094903808,040301070203,126.2532911,6.602315617
54291,75475311,Glaciated,45.5916597963,-88.0886770367,040301080606,26.58157851,3.744716664
31267,75475261,Glaciated,45.6007259228,-88.0872491739,040301080606,58.71869088,5.10539126
4534,75475529,Glaciated,45.5423466099,-88.0652375445,040301080606,519.3281468,7.044425867
4601,139259987,Glaciated,44.1308868718,-88.047718376,040301010302,160.3578516,11.26695702
64607,76156057,Glaciated,45.3969412307,-88.0525361915,040301050301,219.9173846,18.48193993
89608,75475627,Glaciated,45.526175439,-88.059431149,040301080603,38.48593763,8.48817866
103882,76156063,Glaciated,45.389801514,-88.0421007538,040301050301,56.36870818,8.637915677
70726,110735851,Glaciated,46.2748740813,-88.0334582303,040301070303,43.65599515,5.706086291
91602,110734323,Glaciated,46.6320076914,-88.0239360487,040301070105,32.08762147,2.068516935
33285,75475979,Glaciated,45.4167898224,-87.9505722661,040301080904,358.4075919,17.8189712
95716,139260682,Glaciated,43.8701228656,-87.9446592392,040301011107,68.82923271,14.27766001
30184,152512199,Glaciated,46.5478872789,-87.8743768407,040301100101,119.314573,9.845415828
138121,152512215,Glaciated,46.5094302267,-87.8233880996,040301100105,267.0269992,13.0777011
4630,139259961,Glaciated,44.1214447716,-87.8198236997,040301010603,138.9396594,26.15171414
4872,139259002,Glaciated,44.3600140903,-87.7134365344,040301010103,506.4337939,39.70097381
14479,152512559,Glaciated,46.2568953781,-87.5135254726,040301100206,58.64276094,3.762229605
4300,151959760,Glaciated,44.5447213911,-87.5008254956,040301020205,35.14174166,1.724472455
5197,151959696,Glaciated,44.5832930451,-87.4885442736,040301020205,125.0427665,16.64001491
3258,152512555,Glaciated,46.260855841,-87.3660631821,040301100302,282.6253315,2.557713272
61430,152512525,Glaciated,46.2764131359,-87.3280319577,040301100302,308.9781763,22.48601177
39631,92131178,Glaciated,46.1263231488,-86.8305193279,040301110106,111.2905903,6.531364863
97802,92131364,Glaciated,46.0407405028,-86.8059663354,040301110106,98.12257562,8.176711562
132945,120018199,Glaciated,46.2629593278,-86.7115712249,040301120202,181.2231389,6.472980813
38534,113236209,Glaciated,46.0206062269,-86.6208911107,040301120108,28.82752012,1.10355232
4790,155445197,Glaciated,43.7547193412,-89.1991841941,040302010605,15022.70595,7.400596647
67685,155444668,Glaciated,43.6474664539,-89.0015603962,040302010502,490.055902,2.149039436
5036,155444215,Glaciated,43.7368111999,-88.9845683691,040302010402,806.5674241,4.30733873
101851,76157357,Glaciated,45.2690253994,-88.1697075302,040301050408,16373.61676,279.4150689
47981,111860033,Glaciated,46.3299919741,-88.5783662848,040301060205,767.3451961,6.983955992
4683,75473137,Glaciated,45.8938331117,-88.1293827441,040301080701,1131.752051,6.354422695
5517,76156613,Glaciated,45.2278118827,-88.0832436054,040301050408,6828.685932,133.0364616
5062,75476059,Glaciated,45.3670331875,-87.6579787721,040301080908,442027.325,3559.082674
32292,113235787,Glaciated,46.3035150967,-86.7620667222,040301120202,1323.554209,7.26590529
858,155444366,Glaciated,43.7431487378,-89.6471778406,040302010202,1224.15059,13.6419139
1666,155444017,Glaciated,43.7977605711,-89.6366676562,040302010201,284.1812572,10.4637099
102808,155444113,Glaciated,43.7866964937,-89.5740057965,040302010201,4456.440767,203.5476216
57324,155442993,Glaciated,43.9640723148,-89.5603514942,040302010301,25.73018709,6.260665448
39635,155443466,Glaciated,43.8809072311,-89.4961676049,040302010302,870.2557332,111.2116337
4555,155445150,Glaciated,43.5543429112,-89.4704045471,040302010601,67.18167785,7.564311977
586,155442657,Glaciated,44.003737031,-89.428955341,040302010701,160.3325253,11.40496686
76974,155442881,Glaciated,43.9739381429,-89.391704823,040302010701,9.162333507,1.639742477
66674,155442888,Glaciated,43.9705548221,-89.3587446161,040302010703,81.27118866,1.682006293
935,157355523,Glaciated,44.7621744712,-89.3691091822,040302021501,145.938588,14.06132601
18601,75661045,Glaciated,44.2666149586,-89.3473767844,040302021806,169.6371455,35.882417
2100,75659957,Glaciated,44.348992359,-89.3343331928,040302021809,212.2041314,23.1725152
5263,155442475,Glaciated,44.0334306926,-89.3041353495,040302010803,281.7812363,16.10291993
129820,155444957,Glaciated,43.6105348324,-89.2724502015,040302010503,720.9172195,20.51394847
4718,75655979,Glaciated,44.6728894002,-89.2738652758,040302021501,1026.691546,34.61245097
60393,75655647,Glaciated,44.710832209,-89.2713929434,040302021501,120.0843825,5.32698391
36415,157355339,Glaciated,44.9744417306,-89.2592392876,040302021003,653.1534496,150.82989
5377,75661697,Glaciated,44.0962466054,-89.2223590522,040302022004,64.39202304,2.103299592
99788,75658723,Glaciated,44.4284029918,-89.2200347103,040302021601,69.38357409,12.2880567
93721,75658457,Glaciated,44.449708227,-89.2076934618,040302021601,224.5476568,42.18964713
76958,75659827,Glaciated,44.3465995219,-89.153650915,040302021808,100.7484443,8.200851872
106995,75659569,Glaciated,44.3644277293,-89.0887714752,040302021809,13990.70804,2103.275174
53257,75657023,Glaciated,44.5588272077,-89.1002811362,040302021702,75.99516892,5.112413651
3905,75653613,Glaciated,44.9732463372,-89.0902868648,040302021004,43.81999761,3.352714434
31265,155443213,Glaciated,43.9026804272,-89.0759936606,040302011106,483.8052301,59.98993872
59435,75653585,Glaciated,44.9871909568,-89.0825400043,040302020502,275.3477025,31.67718961
80153,75654031,Glaciated,44.8905901875,-89.0630635667,040302021201,22.76368523,5.450663473
650,75473611,Glaciated,45.8971110437,-88.9929424487,040301080201,36.18926019,3.945601923
67689,75473409,Glaciated,45.9206682528,-89.0015933972,040301080201,11.09673536,2.62131859
42862,75473085,Glaciated,45.9465582443,-88.9841951565,040301080201,151.4892544,19.07745292
4573,155445195,Glaciated,43.7966518871,-88.9696885234,040302010902,49.53432669,4.853105059
134022,75652103,Glaciated,45.4179616105,-88.9612870179,040302020201,19.09416218,1.993994266
2781,75473481,Glaciated,45.9056279801,-88.9600175414,040301080201,71.01901036,2.726153873
57330,75473051,Glaciated,45.9490201962,-88.9577906442,040301080201,158.0344238,8.609611903
21809,75652221,Glaciated,45.3950587742,-88.9425207995,040302020201,59.40181509,3.570209796
4979,75652291,Glaciated,45.3791191074,-88.9253757276,040302020201,287.256154,9.410877644
4659,75652441,Glaciated,45.354922359,-88.9148695378,040302020206,148.37512,5.539510237
75934,111860009,Glaciated,46.3562188622,-88.9161885033,040301060101,40.35697567,1.290625646
114140,75652321,Glaciated,45.3770805352,-88.9063633518,040302020206,130.7488063,31.19608584
33290,75651829,Glaciated,45.4693132433,-88.9028973678,040302020201,142.4127741,14.7773665
140146,75651931,Glaciated,45.4397758707,-88.8774095633,040302020201,266.0141395,6.122887967
56268,111860119,Glaciated,46.3504649401,-88.8867850573,040301060101,822.0755281,8.52538304
64596,75654747,Glaciated,44.8050536317,-88.8704976723,040302021203,212.3675441,51.39019476
79119,75652815,Glaciated,45.1889787738,-88.8724073395,040302020303,1205.940651,262.1978534
4460,75652143,Glaciated,45.4013508792,-88.8613423581,040302020205,170.3037575,2.577382633
130877,75651893,Glaciated,45.4522201002,-88.865520203,040302020104,11.034578,2.21378303
87500,75653171,Glaciated,45.0927317078,-88.8574052382,040302020402,391.2595717,75.98152187
99781,75652933,Glaciated,45.1485678917,-88.8530129797,040302020303,75.68775141,5.349014558
124690,75652585,Glaciated,45.3192819137,-88.8443299814,040302020205,8311.869712,1355.358534
89613,75651849,Glaciated,45.4548850665,-88.8333236667,040302020204,397.841135,5.473206342
114158,75651637,Glaciated,45.5002948712,-88.7944094964,040302020203,156.2581052,26.65660674
1647,75653667,Glaciated,44.9280835379,-88.7675831165,040302020404,189.147231,7.426978455
91603,75652929,Glaciated,45.144036316,-88.768650762,040302020305,285.2318966,56.65914815
1873,75652829,Glaciated,45.1644714355,-88.7681983361,040302020305,414.2908182,6.671101539
1228,75653759,Glaciated,44.9127283772,-88.7553402323,040302020504,17.3913703,2.156415886
3231,75652755,Glaciated,45.2573083133,-88.7454211576,040302020301,532.1343501,34.67029263
138135,75652089,Glaciated,45.4077913569,-88.7340724477,040302020205,48.13947854,8.180969412
5170,75655521,Glaciated,44.6913176428,-88.6760078674,040302021204,268.1784813,24.48416633
79138,68838553,Glaciated,45.2914818099,-88.6551190178,040301040201,164.55957,10.70308806
