huc4,slope_max,slope_min,slope_median,tri_max,tri_min,tri_median,elev_max,elev_min,elev_median
0101,69.1445670067561,0,3.867916327954497,53.09896420835344,0,1.6106780244159087,860,-4,281.36954413954396
0102,73.37412647464035,0,3.1568823454481927,100.89970267547868,0,1.2084968438594572,1598,-18,179.42431366427212
0103,78.99080845690581,0,3.859019197443219,123.6567830731497,0,1.71594648852029,1282,-11,309.98882002870204
0318,53.10951031250721,0,2.8923995884603735,33.6804839632687,0,1.613036721479966,230,-37,118.80650244803022
0104,70.98691486062235,0,6.246503328394159,67.46943752544554,0,2.7318424775064796,1914,-5,403.37789698790044
0402,76.72142787600635,0,0,117.78688381988887,0,0.0012558099528409,605,173,179.0000037201564
0401,69.6993073763714,0,2.809568057302836,53.73895235301857,0,1.101426680017763,700,167,405.61564369771395
1903,87.4443886697196,0,1.8330898059705614,898.4073407981482,0,0.7103134128022269,2843,-107,39.24057181041458
1905,0,0,0,0,0,0,0,0,0
2203,80.93573081197863,0,0,149.91372518885655,0,0.0045637241071966195,1042,-27,0.04388101028505225
1507,78.35656273153815,0,2.9023661864026087,109.30576380045107,0,1.1978048165285684,2427,27,407.4549537543026
1506,80.99653458586069,0,7.2624029012063716,208.06639565292613,0,3.46827739789846,3835,259,1623.47067503131
1805,76.09032961661798,0,5.186969081139903,78.66304723311957,0,2.7343656323714125,1317,-67,83.44856739083613
1806,75.43095120115579,0,9.286642996713791,111.18172061989327,0,4.743210921868788,2660,-41,375.4907617299211
1803,80.63795929461867,0,4.731917010205923,222.21414221421642,0,2.4395743427807695,4412,15,303.21831222292263
2201,69.95133691078506,0,0,77.29812416870153,0,0.001117863658153713,398,-10,9.415007189165161e-4
1206,44.420144495613854,0,2.3886859440680666,33.21708897540542,0,1.3638382803432034,798,93,393.5186464864335
1902,86.4283866743637,0,0.9274099368642328,1252.3917617902155,0,1.4412052190883258,2496,-113,0.43743974901677274
0804,54.182844938180345,0,2.904476993651154,34.9088097763301,0,1.611360239173041,820,-25,69.50785267312514
0805,57.1749035726541,0,1.8543341688359332,54.36106143187419,0,1.1002589339045663,113,-64,29.12811504799903
1101,70.9675943871375,0,5.189242597305699,80.31033557394714,0,2.2265652919686265,790,10,285.50146458396927
1111,58.460866542275,0,3.8763618488839207,60.67742578587197,0,1.8647368205773853,850,17,209.51260295327927
1505,80.54949881508014,0,3.709512285652334,150.63532122314473,0,1.4004131361217733,3263,155,1063.5625920436355
1504,78.96496133981528,0,6.695929379439095,115.82529948158995,0,3.2334564809353665,3336,713,1559.4429630275179
1502,79.46326182144337,0,3.7106576299049907,153.4393202539688,0,1.4598832701886375,3834,824,1911.540466449081
1407,83.34672032714828,0,7.297300347221728,210.84739742287547,0,3.460600946906728,3543,929,1751.4889630557047
1807,77.30978420385972,0,6.714941006586747,118.83181392203015,0,3.234785683706822,3491,-67,439.36735214097376
1810,77.28425434889583,0,3.3951814334416035,102.06799204451903,0,1.705127002815311,3499,-90,455.4498952544533
1808,77.62081425351091,0,4.764846155659271,108.58867344249123,0,2.227145657223036,3007,1184,1619.0091161240234
1801,81.83261650996083,0,12.275555767476565,160.66385716769034,0,5.497059538720652,4306,-28,1071.4200242192862
0408,52.522212682543916,0,0,33.119103248729424,0,0,482,161,174.99989765780876
0407,68.1996876479313,0,2.7463583604972013,41.4578098794425,0,1.101391286363568,621,125,252.69530804666482
1103,56.747900098395796,0,2.196073032117789,65.9914767223768,0,1.2003485895657018,1360,296,651.5257054389683
1302,78.67165509231764,0,4.372145967354748,109.87891062437778,0,2.217388591116492,3992,1329,2087.4599277480015
1301,79.52726187373958,0,5.806091749977976,116.50697404018354,0,2.729688444953635,4300,2257,2675.4895746983893
0709,49.43061164769711,0,2.4034280657176463,27.538609260454674,0,1.051837718617323,527,101,264.49929406708804
1029,58.26894283251206,0,3.015203806367892,43.35464219665525,0,1.610344242863708,539,144,294.51828970207265
1106,52.49727920806524,0,2.405610580720316,33.63034344160047,0,1.3640932690709162,744,208,373.5203881725234
1105,46.04019575140876,0,2.4114520051047275,32.984845004941285,0,1.3628398545708575,749,203,377.49702529268114
0807,53.4168941701728,0,2.8809180780602577,56.89903338370521,0,1.3653502979719319,172,-44,27.999999999999996
0806,48.69148057787879,0,3.3725509645668477,27.406659774587634,0,1.6997656303784914,207,-12,90.05427101804017
0403,69.57403671960034,0,2.7381742883959768,49.73052382591601,0,1.1035597170697757,633,125,274.53378084875953
1308,72.78225760902959,0,2.187267507134862,91.51502608861563,0,1.1908309378507755,1519,73,259.65293594847344
1309,76.78013570354878,0,2.163923959134639,115.69788243524597,0,1.198963267688244,1533,-16,107.53616884977325
1016,39.48184903373145,0,1.854334168836618,19.471132478620753,0,1.0517355707172744,689,345,444.5097955836492
1205,62.450633160581695,0,2.41117702633063,55.23812089490373,0,1.3641203612156518,1460,447,1029.49459351178
1208,64.4283610714459,0,2.254441071791284,84.23850069890845,0,1.2163009248192003,1391,514,925.4995214712428
1305,79.25247537695805,0,2.896368784161211,208.17690794129882,0,1.408624467412952,3636,1072,1479.424962596492
1306,78.65094387305642,0,3.350448564400711,129.9826911553996,0,1.4257273502450072,3990,855,1431.558772078589
1307,76.62543999019812,0,2.885916655196929,102.20750950884187,0,1.7089148164219576,2647,302,903.4068614689613
0802,62.24430012801253,0,2.181135191342773,54.82358069298283,0,1.0999860994650605,544,-25,69.49110466003332
