NLA12_ID,bbox_width,bbox_height,bbox_angle,bbox_area,bbox_perimeter,geo_type0,geo_type1,geo_type10,geo_type11,geo_type13,geo_type14,geo_type15,geo_type16,geo_type17,geo_type18,geo_type19,geo_type20,geo_type3,geo_type4,geo_type5,geo_type7,geo_type8,geo_type9,median_slope,area_sqkm,index_depth_m,buffer_min_elev,buffer_max_elev,perimeter_km,min_bbox_dim,bbox_area_sqkm,char_dim,pred_max_depth,grad_100m,dev_index
NLA12_AL-101,5336.394536,24810.015862,7.482853,132396033.091034,60292.820797,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.372354408683053,13.018719697233978,13.399999999999999,39,142,104.208666239,5336.394536,132.39603309103398,262.36822598100855,134.12623653907863,103,8.147319866690413
NLA12_AL-102,1962.930495,2534.3605,25.118852,4974773.511891,8994.581991,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.574669199468595,0.7295042027444281,17.3,241,276,11.8723053216,1962.930495,4.974773511891,143.92273762563565,27.8298940943437,35,3.9211750061425943
NLA12_AL-103,15621.655214,71687.00379,14.232355,1119869656.546124,174617.318009,0.24317664332401753,0.6916753013613807,0,0,0,0,0,0,0,0,0.039824824376436266,0,0.025323230938165527,0,0,0,0,0,5.179443788211144,103.63258476025153,6.5,89,233,688.459134175,15621.655214,1119.869656546124,722.8129178235317,129.97140489716645,144,19.077658445635684
NLA12_AL-104,26583.072155,56402.827161,21.288306,1499360424.165597,165971.798632,0,0.026233849731448038,0,0,0,0,0,0,0,0,0.9531847389677619,0,0.02058141130079005,0,0,0,0,0,3.822662563662829,47.31474335664245,19.8,7,72,698.108820247,26583.072155,1499.360424165597,419.43591960048246,55.801952865025314,65,28.629907755658813
NLA12_AL-105,556.838068,987.524155,93.110342,549891.042411,3088.724446,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.11002588510752,0.3256146307556182,4.8,52,76,2.99895387867,556.838068,0.549891042411,164.86413481797865,29.251706244998893,24,1.4825621194247196
NLA12_AL-112,162.494168,569.19052,150.435151,92490.139742,1463.369375,0,0,0,0,0,0,0,0,0,0,0.02641435710927857,0,0.9735856428907215,0,0,0,0,0,7.790247299495769,0.05555442620246206,3.8,76,100,1.29312181696,162.494168,0.092490139742,48.80125757009299,13.107623091641674,24,1.5476586302421005
NLA12_AL-113,831.980337,1096.664111,97.533969,912402.976972,3857.288897,0,0,0,0,0,0,0,0,0,0,0.47274773941945103,0,0.5272522605805491,0,0,0,0,0,4.282058832579146,0.2940501835234445,2.5,17,37,3.81355552979,831.980337,0.912402976972,134.06574559557518,19.96454673854034,20,1.9838755049635184
NLA12_AL-114,708.971729,798.848145,154.661826,566360.750489,3015.639748,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.335221702905453,0.18104714867890626,3.5,165,188,3.58598713523,708.971729,0.566360750489,113.31762478118372,17.08273117952776,23,2.377431159546125
NLA12_AR-101,1022.339553,2402.010401,142.261457,2455670.239745,6848.699908,0,0,0,0,0,0,0,0,0,0,0.2277516416341023,0,0.7722483583658977,0,0,0,0,0,4.808274834883034,1.0578499956021412,2,75,101,9.08146136962,1022.339553,2.455670239745,220.20096064633816,36.785350205563766,26,2.490799464000238
NLA12_AR-102,1206.976351,1126.138094,83.569735,1359222.047315,4666.22889,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4607960429861024,0.9589252695302926,1.3,67,82,3.8831372712,1126.138094,1.359222047315,397.24277481022085,34.08040816141354,15,1.1186273404274938
NLA12_AR-103,8641.214848,15896.719698,122.346494,137366970.298567,49075.869094,0.4598380218755858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5401619781244141,0,6.629001006537291,24.289211915076667,13.4,101,171,180.20852498,8641.214848,137.366970298567,763.9693085993924,175.2059192007036,70,10.314868315977721
