huc04,huc4_min_depth,huc4_max_depth,huc4_median_depth,huc4_sd_depth
1703,12.6,131.064,27,48.67632714032561
1704,1.5,51.2064,9.65,15.028892890539014
1705,1.15,119.5,9.144,23.82153822340411
1706,1,91,15,18.481916933684712
1707,2.5,96,11.8872,25.918104203420334
1708,3.2,110,24.384,28.833313679627707
1709,1.2192,130,20.65,30.444490980066693
1710,1.4,43.9,9.6768,10.97661454455493
1711,0.64008,189.89,8.8392,19.890624907107764
1712,1,6,3.048,1.7663051561839207
1801,3.048,588.8736,19.5072,119.44290505909593
1802,2.9,157.5816,15.02,45.0128940391345
1803,2.4384,56.388,18.15,18.939261209103872
1804,2,149.352,24,40.42153907015417
1805,2,46.3296,12,12.463970931179222
1806,3.3528,60.96,46,21.632692321761525
1807,2.2,108.204,22,37.3176796145059
1808,1.3,20.8,11.05,13.788582233137676
1809,2.7,88.392,15.849599999999999,26.45517470862742
1810,2.7,91,15.5448,47.7063344747145
