lake_nhdid,area,perimeter,bbox_lw_rat,SDI,dist_pole
"122232033",159448.107666016,2123.96108244592,2.508,1.500,120.698315609397
"122961303",259039.412841797,3137.30045579526,3.986,1.739,147.256041769609
"61790779",8577951.16186523,33293.6764065874,3.906,3.207,573.33363507537
"52855683",20890933.5351563,50084.1347437283,2.574,3.091,1025.77901882277
"53541253",1541274.44213867,8854.32751842304,1.149,2.012,353.660741768528
"53539961",358275.020019531,4191.13246310764,4.511,1.975,131.784739918362
"120023791",1780191.71704102,25411.2349461417,1.340,5.373,328.961167315172
"47721350",1159755.85302734,5807.72625831564,3.561,1.521,305.316618350939
"89364879",1315447.5949707,7918.72838947118,5.762,1.948,238.875012037079
"89363405",1712102.60351563,19750.66441517,4.069,4.258,281.752459035436
"53541797",457314.439208984,7830.03896847373,1.442,3.266,156.105066953748
"53541369",135819.663330078,2114.71314573713,1.443,1.619,129.394442121872
"53541203",487719.854003906,4816.66311321164,1.787,1.946,189.779671224399
"53539915",78132.2194824219,1686.45623694342,1.554,1.702,94.0054136052886
"33530715",152594.423339844,2335.81187834343,1.594,1.687,123.438366416788
"53541857",221657.064697266,2459.51675428038,2.764,1.474,166.333155271892
"53539935",445610.527832031,5085.59915041336,1.507,2.149,217.477006221183
"53541987",436004.563964844,5917.0622046663,1.190,2.528,161.367884532148
"53539943",46781.7485351563,1530.49205466152,5.406,1.996,59.2704598106289
"47727967",78674.3605957031,1821.86480756786,4.179,1.832,76.7156586856048
"47725937",290339.104736328,3164.52771667242,2.280,1.657,153.286849518715
"89365087",266365.316162109,4945.95280251045,1.270,2.703,124.654248968506
"89362525",490361.686767578,5163.07590963289,2.425,2.080,199.812897069607
"89365105",162824.958251953,2234.33699775084,3.649,1.562,113.779384925536
"52847331",368552.666748047,2830.47129131521,2.011,1.315,218.905544583439
"47720316",162268.936767578,2179.02690363436,2.665,1.526,121.53745710735
"89363569",83188.90625,1597.74460268228,3.086,1.563,95.2585311710153
"52852611",358422.973876953,4055.44191498205,2.740,1.911,177.279782267644
"89363765",64846.3850097656,2029.18842669625,1.431,2.248,100.946649372606
"47727897",288258.963867188,4176.96211119102,2.567,2.195,174.463653175477
"89363491",685210.373535156,6081.29808877306,1.005,2.072,231.527444769108
"89364173",319088.795410156,5047.90222477905,1.506,2.521,136.06563019077
"89361863",56867.6372070313,2553.10226908195,4.261,3.020,55.0455521145485
"37099709",75800.5280761719,1539.75895614736,1.655,1.578,90.1042568398973
"89366321",419971.156005859,6107.68112298957,1.599,2.659,200.630475462976
"89364809",153240.919921875,1560.74702426046,1.371,1.125,175.632983093624
"37097927",483016.689697266,2928.66082045449,1.454,1.189,283.725302792934
"52854143",820825.852539063,7209.45889849264,1.623,2.245,220.289975188934
"50520953",369565.018554688,3592.72650091877,1.171,1.667,202.339812061513
"89363631",655739.572265625,6973.29243489792,2.270,2.429,189.121834557728
"89362149",104113.92578125,1796.73869109749,1.137,1.571,131.430904748926
"52849111",571758.831787109,5252.91971370679,1.106,1.960,244.288951426817
"52845369",104628.132080078,1782.165227854,1.829,1.554,118.763555671195
"50524071",194985.448242188,2762.75041250922,3.369,1.765,110.225200108738
"53542311",2236896.04931641,13368.4587427006,1.539,2.521,462.563736525003
"89364961",6160365.03955078,43125.0879765551,5.077,4.901,444.335783456339
"53541175",61245.9204101563,1347.15855143156,2.286,1.536,103.783523153914
"53540953",177253.362304688,2461.9627863112,2.108,1.650,146.291072369728
"89365939",53730.5756835938,2206.75919682938,2.875,2.686,69.575502240207
"89365713",120944.766845703,2212.00308339119,2.348,1.794,113.519094279718
"53542025",130055.412353516,2242.37513645602,1.475,1.754,114.932464757119
"53543175",156182.716064453,2980.70490195804,2.092,2.128,110.410405178646
"89363899",148731.687988281,3465.39637103288,1.244,2.535,99.6999774228298
"89365529",422650.227050781,7651.97397689912,2.168,3.320,214.480512962108
"89362401",811557.662841797,9402.7411709603,2.044,2.944,346.974663710831
"47719631",170471.963378906,3373.82609065529,4.555,2.305,97.5850652640856
"89362093",917133.721679688,7983.69558171572,1.023,2.352,277.723967622775
"89365099",565051.502685547,5620.43464934826,1.492,2.109,287.773587615801
"89363513",1154082.28100586,11965.8995913277,2.247,3.142,278.827863352864
"47724367",168514.200195313,2160.09502680153,1.986,1.484,159.013949445753
"47719887",404207.217041016,4040.63832987674,1.393,1.793,200.675355037677
"89364017",65754.9714355469,1671.1472256605,5.212,1.838,59.5523727373835
"89364113",147676.723632813,2920.1747037172,5.159,2.144,91.6666718105524
"89363427",203289.196289063,3131.93941592768,2.678,1.960,159.919424160707
"37100725",134215.928955078,3162.07307830433,1.640,2.435,74.7121383238275
"89363919",98965.8471679688,2078.44392005632,3.786,1.864,90.0482647540324
"47725865",554981.455810547,3764.1614866283,1.759,1.425,290.579288890312
"89363369",43190.3115234375,988.67354789549,1.289,1.342,86.3532820883008
"89366327",54710.4553222656,1353.97685745486,1.817,1.633,93.4667809428584
"89362411",717704.799804688,4234.61528116844,1.658,1.410,321.888504262606
"50523421",1441835.86914063,6031.65302442608,1.331,1.417,563.476738401559
"89362625",101729.885742188,2472.37214038896,2.099,2.187,97.1658258471811
"89365619",93955.1337890625,2143.28121812663,3.133,1.972,90.9656442861368
"50522151",585151.399414063,4208.95190186813,2.264,1.552,231.908659363675
"89363847",98321.4877929688,5117.08182953857,2.460,4.604,49.6608350006148
"89363979",105479.673339844,2818.87939329851,2.081,2.448,95.8970565214743
"89362515",71456.0693359375,4352.45046709665,5.004,4.593,50.4285179924678
"89362545",64586.2202148438,1345.89110105945,1.514,1.494,107.220010517952
"89363729",110509.90625,4277.45042114223,3.208,3.630,91.2967167313825
"89364735",88480.7172851563,2416.61840961363,1.840,2.292,86.917488436157
"52854197",238912.427490234,2256.95695036617,1.272,1.303,190.237907886295
"89361945",105164.162109375,3485.60187543687,3.747,3.032,99.9141179572328
"52843943",480301.132568359,4451.37198278038,4.191,1.812,183.938059691921
"53541487",9621581.76782227,33850.7144427601,1.962,3.079,903.300057755826
"52844435",1554123.12988281,18720.8691861191,3.649,4.236,270.587324938364
"47722841",1545701.15356445,8427.45320124481,2.408,1.912,443.819954564869
"47727981",5739046.35546875,21740.2760173667,2.613,2.560,640.689081526348
"47721785",5971977.97045898,17096.2047224789,2.370,1.973,786.974981714247
"89361951",1138931.94189453,15649.1877723485,3.256,4.137,208.621072623641
"52853317",1748039.61352539,8599.9992784383,1.584,1.835,418.290063107336
"89365393",1811612.84716797,11671.6646093864,3.265,2.446,328.425247817236
"50521223",2730913.41796875,14085.9142878401,4.852,2.405,320.177350085131
"53540971",49038.4365234375,985.744939648753,1.348,1.256,99.1307248597109
"53542879",620164.521972656,5811.84456927751,2.707,2.082,232.909774669107
"53540229",41115.1887207031,1446.28545430203,6.491,2.012,49.0077857663808
"53539963",58273.5632324219,2002.40000938653,3.899,2.340,54.0810872638602
"53539965",263247.072021484,3318.69107789333,1.371,1.825,168.896620754164
"33530021",128586.748535156,1524.82088381138,1.310,1.200,155.53109322898
"53541845",332647.765380859,2862.69609618033,2.336,1.400,192.808214176102
"53541779",102401.34375,1297.50068414704,1.219,1.144,149.111386889236
"53542093",63648.6318359375,1112.81769863644,2.535,1.244,95.795193271688
"47726265",97645.2961425781,1959.7835699866,2.795,1.769,94.0113140802547
"47727911",583010.284667969,6318.8607800556,2.699,2.335,171.414256077955
"89365531",97422.5373535156,2929.95954887325,3.320,2.648,62.0752457496494
"37100731",504498.329589844,4109.54111863705,3.623,1.632,207.676981223058
"52843955",129888.255371094,2668.98545212838,7.950,2.089,79.3504522791927
"47719461",120546.278564453,2690.56670817848,2.834,2.186,94.4005939344844
"89362727",1266335.46386719,14558.6167828622,3.651,3.650,264.520426640814
"33530171",48251.3159179688,946.525727428032,1.174,1.216,100.41564140282
"37100645",58344.1047363281,1271.76933839208,2.499,1.485,89.9231733063637
"33529737",478896.481445313,3363.89116356317,2.163,1.371,226.139302134715
