lagoslakeid,lake_nets_upstreamlake_km,lake_nets_downstreamlake_km,lake_nets_bidirectionallake_km,lake_nets_upstreamlake_n,lake_nets_downstreamlake_n,lake_nets_lakeorder,lake_nets_lnn,net_id,net_lakes_n,net_averagelakedistance_km,net_averagelakearea_ha,lake_nets_nearestdamdown_km,lake_nets_nearestdamdown_id,lake_nets_totaldamdown_n,lake_nets_nearestdamup_km,lake_nets_nearestdamup_id,lake_nets_totaldamup_n,lake_nets_damonlake_flag,lake_nets_multidam_flag,net_dams_n,nhdplusv2_comid
3924,0.074,1.272,0.074,3,1,4,8,1,32811,1652.416,80.469,1.054,20034,2,NA,NA,0,N,N,24986,2031955
3523,2.304,114.318,2.304,414,11,8,36,1,32811,1652.416,80.469,39.901,50560,30,8.288,50551,113,N,N,24986,1874843
4262,20.271,90.266,8.504,29,12,5,4,1,32811,1652.416,80.469,0,50224,26,20.271,50206,13,N,N,24986,13134705
705,0.08,3.099,0.08,1,1,2,2,1,32811,1652.416,80.469,0,50675,1,NA,NA,0,N,N,24986,13134099
62904,0.621,38.236,0.621,1,13,2,3,1,32811,1652.416,80.469,0,50682,26,0,50681; 50683,2,N,N,24986,13134973
107505,0.269,20.689,0.269,1,1,2,4,1,32811,1652.416,80.469,14.141,20036,1,NA,NA,0,N,N,24986,2031877
48431,NA,2.29,2.29,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,2031809
43296,23.986,116.343,23.986,2,11,4,2,1,32811,1652.416,80.469,0.462,50108,26,10.986,50597,2,N,N,24986,2731824
3778,NA,35.663,6.797,0,12,3,1,1,32811,1652.416,80.469,0,50217,25,NA,NA,0,N,N,24986,13135547
124096,NA,98.802,18.576,0,1,1,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13132031
25459,NA,88.399,31.104,0,12,1,1,1,32811,1652.416,80.469,20.026,50213,25,NA,NA,0,N,N,24986,13135195
88097,0.089,75.362,0.089,1,12,3,4,1,32811,1652.416,80.469,0,50215,26,NA,NA,0,N,N,24986,13135399
75290,2.657,101.89,2.657,1,1,2,2,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13132005
742,NA,2.976,2.976,0,1,2,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13135443
26511,NA,0.418,0.418,0,1,0,1,1,32811,1652.416,80.469,0.411,50692,1,NA,NA,0,N,N,24986,13135119
118799,NA,5.259,4.006,0,13,1,1,1,32811,1652.416,80.469,0,50222,26,NA,NA,0,N,N,24986,13135385
112603,NA,103.578,23.623,0,1,1,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13132063
124092,0.084,1.025,0.084,1,1,2,2,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13135287
29566,NA,30.132,13.412,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13131785
69111,1.21,46.124,1.21,1,13,2,2,1,32811,1652.416,80.469,3.878,50219,26,NA,NA,0,N,N,24986,13134869
36870,0.358,0.109,0.109,1,1,2,2,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,2031945
2960,11.662,0.528,0.528,2,1,4,5,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,2032055
1431,11.029,4.66,4.66,3,1,4,3,1,32811,1652.416,80.469,4.66,20031,1,NA,NA,0,N,N,24986,2031773
73166,NA,129.359,37.132,0,11,3,1,1,32811,1652.416,80.469,0,50054,31,NA,NA,0,Y,N,24986,2113606
5116,0.976,94.429,0.976,2,12,4,3,1,32811,1652.416,80.469,0,50218,26,0.976,50210,2,N,N,24986,13134701
65024,NA,15.706,9.062,0,1,1,1,1,32811,1652.416,80.469,0,50572,1,NA,NA,0,Y,N,24986,2452966
5300,32.791,37.516,17.437,1,12,4,2,1,32811,1652.416,80.469,0,50182,31,18.279,50173,3,Y,N,24986,13107527
2359,12.631,67.459,12.631,1,12,6,9,1,32811,1652.416,80.469,0,50626,31,8.798,50625,1,N,N,24986,13085025
54760,NA,0.431,0.431,0,1,3,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13079055
5339,0.326,1.467,0.326,1,1,4,4,1,32811,1652.416,80.469,0,50126,1,NA,NA,0,N,N,24986,13078713
4611,6.547,1.002,1.002,1,1,2,2,1,32811,1652.416,80.469,0,50668,1,NA,NA,0,Y,N,24986,13121108
4392,NA,1.321,1.321,0,1,2,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13120940
5258,0.064,109.829,0.064,12,1,4,9,1,32811,1652.416,80.469,0.387,50667,2,2.425,50188,2,N,N,24986,13120880
4990,0.074,81.503,0.074,6,1,4,5,1,32811,1652.416,80.469,0,50637,2,35.597,50636,1,N,N,24986,13102555
120951,5.212,12.606,5.212,1,1,3,2,1,32811,1652.416,80.469,0,50599,1,NA,NA,0,N,N,24986,12979469
4838,12.788,78.578,12.788,1,1,3,3,1,32811,1652.416,80.469,0,50614,1,NA,NA,0,N,N,24986,12991295
1377,NA,6.349,6.349,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,12988539
2752,0.087,8.018,0.087,1,1,2,5,1,32811,1652.416,80.469,8.018,50735,1,NA,NA,0,N,N,24986,13343252
5090,0.458,0.1,0.1,2,1,4,13,1,32811,1652.416,80.469,0,50285,1,NA,NA,0,N,N,24986,13343530
5536,NA,0.944,0.944,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13343914
4664,0.993,0.542,0.542,3,1,3,3,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13343906
885,NA,20.41,8.441,0,12,1,1,1,32811,1652.416,80.469,40.701,50560,30,NA,NA,0,N,N,24986,13107547
15918,NA,3.666,3.666,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13078799
63998,NA,39.304,10.016,0,12,0,1,1,32811,1652.416,80.469,59.595,50560,30,NA,NA,0,N,N,24986,13105925
36881,NA,18.766,18.766,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13079069
22293,0.431,0.151,0.151,4,1,4,5,1,32811,1652.416,80.469,NA,NA,0,15.75,50130,2,N,N,24986,13079151
79571,NA,20.754,18.788,0,13,2,1,1,32811,1652.416,80.469,0,50172,31,NA,NA,0,N,N,24986,13105903
72159,NA,6.065,6.065,0,1,1,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13079195
5235,NA,0.083,0.083,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13078523
120936,0.686,7.078,0.686,1,1,1,4,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13081395
276362,3.975,6,3.975,2,1,3,2,1,32811,1652.416,80.469,0,50622,1,NA,NA,0,N,N,24986,13079023
78481,NA,3.899,3.899,0,1,1,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13078453
22277,NA,0.321,0.321,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13121134
4431,20.203,5.705,5.705,1,1,4,2,1,32811,1652.416,80.469,4.716,50168,1,NA,NA,0,N,N,24986,13105741
107441,NA,0.493,0.493,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13103965
456,NA,16.98,3.532,0,1,1,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13104065
47371,NA,70.377,12.94,0,1,1,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13121376
5446,3.486,1.99,1.99,1,1,1,3,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13118724
1379,0.462,1.184,0.462,4,1,3,6,1,32811,1652.416,80.469,NA,NA,0,4.164,50656,2,N,N,24986,167800981
46371,NA,11.321,11.321,0,1,3,1,1,32811,1652.416,80.469,0,50629,1,NA,NA,0,N,N,24986,13096478
5064,NA,9.08,8.637,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13119526
3100,1.398,24.215,1.398,1,1,1,2,1,32811,1652.416,80.469,0,50654,1,NA,NA,0,N,N,24986,13117696
5528,1.936,29.007,1.936,4,1,4,2,1,32811,1652.416,80.469,0,50156,1,8.647,50157,2,N,N,24986,13096412
979,NA,41.613,17.824,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13349796
76344,NA,62.346,17.131,0,1,0,1,1,32811,1652.416,80.469,0,50634,2,NA,NA,0,N,N,24986,13102571
