OBJECTID,lagoslakei,area,perimeter,SDI,bbox_lw_rat,dist_pole
470715,"474255",53464302.6826172,39021.0516080242,1.505,1.007,3300.75759982532
453473,"456954",498126787.771729,159320.088045049,2.014,1.839,8113.70933380539
151948,"4544",661097.014038086,5767.66480461517,2.001,1.815,245.498104743634
144880,"4783",199328.98046875,1945.75005969914,1.229,1.982,172.775754230101
151021,"136978",13147.3670654297,442.964929254322,1.090,1.728,47.2509121833927
150379,"4860",303685.927001953,3090.15526143224,1.582,1.871,189.36210029241
151524,"131916",125523.709350586,1784.02007977947,1.420,1.690,118.227707754164
152312,"4940",611221.633789063,3231.42445228449,1.166,1.220,328.70666406808
344459,"358452",1167356.61315918,5396.38596212785,1.409,2.681,338.019822581969
333949,"348209",2536188.57293701,11078.3301662709,1.962,6.436,362.389705822819
349244,"363236",282859.504379272,4414.37687863434,2.341,4.165,153.481902074482
359525,"370971",164162.982681274,4018.35875224273,2.798,3.476,137.479984404102
347817,"361810",10458.2668151855,572.380659751939,1.579,1.705,39.8102217994945
334440,"348700",5111149.17468262,20758.2161968496,2.590,3.369,651.171183754108
344478,"358471",7924803.82312012,15336.2122060899,1.537,1.037,1095.25286830731
335016,"349276",607377.627502441,3667.95006727801,1.328,1.851,310.838304431895
354336,"367068",313085.869919777,5325.84097056677,2.685,1.695,153.394906584403
348648,"362640",8933187.63305664,19684.2276361151,1.858,2.121,999.774005035756
349166,"363158",124856.771087646,2824.28577082799,2.255,1.780,87.3740421656867
343706,"357699",2153856.60009766,12061.1521735565,2.318,1.254,407.688003914845
350394,"364386",1628713.86334229,7307.31475383386,1.615,2.441,395.81531737435
348028,"362020",180403.24520874,4552.91168710075,3.024,2.804,80.205447389694
347268,"361261",590763.337280273,6928.00783057939,2.543,2.090,192.708470122041
333783,"348043",889044.764892578,7711.64566008675,2.307,1.844,290.722264613876
351291,"365283",30453.5050048828,1072.14522125413,1.733,1.176,55.239689052448
360338,"371784",356074.493927002,5474.88356148945,2.588,1.805,173.167340001143
335298,"349558",66363.2567749023,1838.25664217748,2.013,2.318,84.1115997518741
335293,"349553",272999.972351074,5090.18050875994,2.748,5.096,119.941819126398
334181,"348441",208730.87991333,4028.74727130365,2.488,2.148,107.2246197956
354090,"366991",628556.100162745,6504.73320403671,2.314,2.328,217.586576211253
348115,"362107",191091.536071777,2644.30402134023,1.706,1.944,133.3889676393
353117,"85009",492544.946813583,4161.46622721591,1.673,1.142,228.445596766774
348375,"362367",59020.7167510986,1486.29147057007,1.726,1.694,68.1449552030865
352197,"366189",322154.864685059,5042.78223511955,2.506,3.168,109.526734246447
349011,"363003",518674.800628662,3775.86878492089,1.479,2.394,237.858633191309
347762,"361755",2508922.68675232,10823.2158157923,1.928,2.053,466.053737466378
348270,"362262",26213.0847473145,724.063311701662,1.262,2.042,60.769151755875
350895,"364887",9852449.09020996,57076.2408204502,5.130,1.249,708.579698629406
347936,"361929",22355.8240585327,925.590319785641,1.746,3.575,43.5109604342665
352624,"366616",158670.272567749,2477.64853352141,1.755,3.212,117.384197505607
356396,"367842",18862975.7618408,33335.3797093198,2.165,2.195,1287.53557327623
357927,"369373",186886.53729248,3344.47157434944,2.182,3.543,106.538702008273
348786,"362778",1037845.14308929,7124.10230567394,1.973,1.945,309.297494485116
362453,"373899",558984.098449707,7362.760764283,2.778,2.698,189.062011338843
348163,"362155",73954.184928894,1543.61987387963,1.601,2.044,87.4031627295105
347885,"361878",89253.6996307373,2588.99348155926,2.445,1.480,90.8143776569681
352108,"366100",143733.23236084,2361.555231474,1.757,2.315,110.368830111721
348838,"362830",35922.9427604675,942.048728438812,1.402,2.520,68.5664384743727
343465,"357458",4078572.11547852,20621.5089560963,2.880,2.103,547.028344274237
356655,"368101",4833984.77178955,22204.633272501,2.849,1.891,532.266312447701
348623,"362615",17100.9786643982,609.735537609304,1.315,1.979,51.018531118795
355165,"367320",123867.196414948,1371.08370954146,1.099,1.136,169.34933186016
357428,"368874",128607.373291016,2876.88820081534,2.263,3.132,108.39214177054
346274,"360267",225716.358154297,2769.90039726657,1.645,5.934,103.846227264784
346020,"360013",6415057.4206543,21202.288627156,2.361,1.828,692.05691368236
349091,"363083",1210492.38806915,9157.75565299981,2.348,2.731,295.018288318367
362408,"373854",60539.4440917969,1209.07382994816,1.386,1.099,87.1297251306961
347701,"361694",767697.315307617,4904.59991047793,1.579,1.086,335.200956594866
347905,"361898",101391.440689087,2086.41197344242,1.848,2.435,111.717545616172
348780,"362772",55566.5049133301,1143.92697424316,1.369,1.468,92.298483709998
348042,"362034",64906.7777099609,1258.53381601639,1.394,3.932,68.9643377156683
348922,"362914",11657.5123596191,649.742956864952,1.698,2.682,29.0533914260896
349151,"363143",37436.8204345703,831.290238878624,1.212,1.839,77.9815030099942
334326,"348586",181446.497070313,2550.55356071401,1.689,1.041,142.140952771119
224698,"1460",1521317.18786621,7504.75675947716,1.716,4.395,322.524478658913
215319,"958",282004.117736816,2316.475657632,1.231,1.563,220.933656118592
212596,"99104",357572.028137207,2847.14292902782,1.343,1.062,251.733812713968
208621,"3148",9323048.75076294,31553.2615614935,2.915,1.651,713.05605043546
212557,"88825",751620.078063965,5180.15678072367,1.686,1.815,330.316639682872
211169,"96047",675604.565795898,4225.60766628026,1.450,1.974,274.729431157107
208491,"132651",307254.13293457,3120.09601453469,1.588,3.148,151.669438864811
209835,"49345",447231.99029541,3335.8389484899,1.407,1.820,245.004878969626
218029,"71080",942618.611816406,8402.39956825072,2.441,2.781,221.103407668101
214068,"3607",25637214.9109497,102856.61435206,5.730,1.122,1200.26180550124
217964,"16819",1022620.73071289,5722.08813355782,1.596,2.102,307.769307604972
214067,"3586",1686593.41171265,6235.95051802695,1.355,1.852,559.260449572481
207292,"3978",1756503.15182495,8397.0421073707,1.787,3.153,439.576963486208
216811,"3560",2378690.15402222,6638.44198027551,1.214,1.636,564.655740596527
207291,"1067",2814546.45404053,13886.4334417124,2.335,3.099,460.689554582739
