huc04,min_rd,max_rd,median_rd
0101,6.63867711797428e-5,0.009104905652449717,6.17603245774673e-4
0102,1.1312947834333847e-4,0.009481319999195548,9.595376868486907e-4
0103,1.2469484735948882e-4,0.015747710087814608,0.0012965979300620292
0104,1.8862424836028877e-4,0.027422326269298844,0.0013520973350710074
0105,2.058217500427415e-4,0.010937586259309736,9.66007792695156e-4
0106,1.184188649542373e-4,0.010032793365503181,0.0011893732851896357
0107,1.505728943014012e-4,0.009898187763355297,0.0010499635042333006
0108,9.487951902630708e-5,0.005922448730138396,9.976770559092405e-4
0109,7.991223639082144e-5,0.006072269107915097,8.160746943078755e-4
0110,2.1192023509725055e-4,0.0039495690411552545,9.347931678777474e-4
0202,1.8369609065942334e-4,0.011750563108236314,0.0014400746278092175
0203,1.113151695927812e-4,0.008062692891509184,8.989890296699405e-4
0204,2.837811445581408e-5,0.00416416350610998,6.86930785054032e-4
0205,9.235142140356756e-5,0.007285990644340683,0.0012001705239384772
0206,1.8104863108567792e-4,0.001265614827758295,9.04013752830276e-4
0207,3.311080446566784e-4,0.004488371346169317,0.0016584840448381193
0208,2.619169756509171e-4,0.001133572505403448,5.269964266731329e-4
0301,1.555452245796664e-4,0.00868873692371519,0.0010022678192951656
0302,7.685013883945522e-5,9.248396285151054e-4,2.1763813999926647e-4
0303,2.15591232956341e-4,0.0022562506344730674,7.895759258905429e-4
0304,2.873119131783446e-4,0.0018657635043682315,4.505425288116036e-4
0305,2.2771033186278876e-5,0.009269664946664542,8.325994679010209e-4
0306,6.305289235485272e-5,0.0015772095070827803,5.332159006305047e-4
0307,9.18487936633391e-5,0.0027602815420511772,5.595873347252705e-4
0308,2.8511985054916114e-5,0.007172121865861205,7.020689952309781e-4
0309,1.0831156416822708e-5,0.005541003759207885,6.64665371400271e-4
0310,3.135936423378236e-5,0.004232456041692888,9.061128639635983e-4
0311,1.127080860847285e-4,0.0016650932315089946,3.2645490072283557e-4
0312,6.421779301369273e-5,0.0017790976454669799,4.2475542371665624e-4
0313,7.365889918882682e-5,0.002843179103874341,3.4188394383716816e-4
0314,1.3333553007591683e-4,0.009785102507255136,6.171368048243094e-4
0315,7.010004952361985e-5,0.0035051818204544067,4.6438866856011475e-4
0316,1.163765907803647e-4,0.002127453008005959,6.926193496592331e-4
0317,2.076199837326261e-4,0.0013948975220186295,4.590545394874961e-4
0318,9.336214988405046e-5,0.0012695207723564536,6.40378872381647e-4
0401,6.129781604881678e-5,0.01756388209302327,9.784214995670274e-4
0402,8.301733371957726e-5,0.012897732126459178,0.0012250387514618594
0403,2.4543766902158093e-5,0.011344683260558496,0.001396096774920695
0404,1.3959889221040574e-4,0.00851231680145301,0.0012599939467758741
0405,8.917140859549863e-5,0.01166107323136338,0.0014406666825097357
0406,5.883873057500717e-5,0.007023425404409215,0.0010849005898745203
0407,4.1144329895015335e-5,0.005719784740840437,0.0011370973503521914
0408,4.2146120961968604e-5,0.007348204629317095,0.00127135458001542
0409,2.8847565231623223e-4,0.005212019967731585,0.0015882336096463652
0410,4.156649111928388e-4,0.0043620102019166045,0.0015578472362058056
0411,2.9558548182608994e-4,0.0026205346281400962,5.115176188314493e-4
0412,5.447988401664783e-4,0.003128568848577012,0.0015528663815002615
0413,1.4488664987149274e-4,0.0048842147872886705,7.782676863372071e-4
0414,1.0330765669381656e-4,0.013017691156470586,7.379858275463159e-4
0415,7.701616343994765e-5,0.013828968266196782,0.001529164331598227
0501,2.574011425138287e-4,0.0027975396118555588,9.636500096002033e-4
0502,1.8902268973552044e-4,0.00530622615736457,0.0014945296931186257
0503,1.2593906069004936e-4,0.005159488372595498,0.0010896846166994884
0504,1.2522799519964762e-4,0.0018274055743315212,3.873618920213265e-4
0505,6.597324557696552e-4,0.0030020987717131395,0.0013173135485564926
0506,2.493498557680118e-4,0.0019402964371806333,5.60258429601982e-4
0507,5.882662694505918e-4,0.0037953711034890486,0.002021284514878514
0508,4.766405584980849e-5,0.004557731739749661,6.424593234626471e-4
0509,3.149057320912099e-4,0.0021810419624837935,8.398747007194271e-4
0510,4.948398702923859e-4,0.0020534307041151366,0.0014962085716747112
0511,2.7212098250014953e-4,0.0017943600721101831,7.009685204297943e-4
0512,5.4182527812230924e-5,0.012894044433255716,0.0017436381617778694
0513,1.7106573608188268e-4,0.0027315677120483338,9.09244832092099e-4
0514,0.00025188514928916103,0.004395808491899424,0.0012526553856132805
0601,2.806886206196479e-4,0.006670282746917663,0.0012778190343243278
0602,1.8572759873094287e-4,0.001391362160339243,7.020683950056815e-4
0603,2.6891911154847925e-5,9.372640583361283e-4,5.329210516657901e-4
0604,9.334547429374194e-5,9.571154970745436e-4,3.692147437852413e-4
0701,2.9924970772478137e-5,0.01762041474170961,9.622805220439399e-4
0702,1.47802526377304e-5,0.007187444445075059,4.3069700615047153e-4
0703,3.397228202184407e-5,0.006525722029682023,8.796887255843978e-4
0704,7.843915349671997e-5,0.012668229334180155,5.679900579437378e-4
0705,1.6390046165412698e-4,0.008206532746823522,0.0011192450390471208
0706,6.98256379993914e-5,0.0019425015823490792,0.0010816857483199917
0707,6.926392360434382e-5,0.005912599015883697,0.0010271490086899405
0708,3.5920866470882255e-5,0.003403365734297662,8.039277934210858e-4
0709,2.886689205370641e-5,0.0028635045180238263,9.73201132450712e-4
0710,2.2724613663812634e-5,0.003036932970261669,3.3645410074982594e-4
0711,3.5181683834465674e-4,0.0048146582314222775,0.001769624382881429
0712,3.625462426702908e-5,0.008724804291724756,0.0010270315411565287
0713,2.8759588213188803e-5,0.005280627840908468,0.0010386761472348572
0714,5.52795748002371e-5,0.006851834493705106,0.001434434500602337
0801,7.305889668593711e-5,0.002181511262634912,5.471344028302448e-4
0802,5.5540123266400986e-5,0.0029668749192246968,3.4419554485895135e-4
0803,4.244069695520399e-5,0.0017101953896480604,2.3178471924713477e-4
0804,2.4772145965047655e-5,0.0012406840633264543,2.987353670809334e-4
0805,6.969582498214745e-5,4.1279415209984e-4,2.891554050701412e-4
0806,1.163083658940463e-4,0.002883535058709425,3.459146598366674e-4
0807,1.6694252378377647e-4,6.797391767604579e-4,4.4681070328026975e-4
0808,1.2240508812149623e-4,0.0023871731406125986,2.378267452361182e-4
0809,3.0633427215609964e-5,1.0675430357676463e-4,3.99040544156664e-5
0901,5.1145259179768195e-5,0.0048721563620213685,6.625015518007938e-4
0902,2.370255097300916e-5,0.005914048419807805,6.810800089669176e-4
0903,2.7708468669079507e-5,0.008533633120160542,0.0011756894860683819
0904,5.577681878831348e-4,0.0016422495868425315,7.3151716815147e-4
1002,1.3853714363882958e-4,0.007696428308430411,0.002459243772288045
1003,7.450095193271998e-5,0.0036254138854715837,5.203670289730265e-4
1004,1.493201896965298e-4,0.0020388629081211033,6.586971290922857e-4
1005,1.6805914332424066e-4,0.0010052857755148117,3.157260049088911e-4
1006,7.774097904426696e-5,0.0017358590529338866,9.019773017604653e-4
1007,1.8220452658056476e-4,0.017358996078822353,0.004816179163901267
1008,1.4135404257413354e-4,0.005893305625258193,0.0010733588522830817
1009,4.935381823220434e-4,0.016338675721873506,0.00643856958608856
1010,2.1997662437998886e-4,0.002559740383671589,9.343934965467765e-4
1011,1.1617427816752791e-4,0.006381124446971786,8.524862054156937e-4
1012,3.1573516041429235e-4,0.0023885819452330813,8.98759711239144e-4
1013,2.535646749992253e-5,0.006994997975299023,5.332103584194587e-4
1014,3.402008648668746e-5,0.0016923630131814658,6.467290829805579e-4
1015,7.241727808990421e-5,0.0013006721730712888,3.2030336344202677e-4
1016,3.0008275264290695e-5,0.002947354340602985,5.329378952835715e-4
1017,4.83879850813046e-5,0.0021673081732261675,2.5868091704924124e-4
1018,7.729100391479641e-5,0.011973071576641882,7.497427262625287e-4
1019,8.268283899514006e-5,0.012166246733757888,0.0013698872241645677
1020,2.5327731333620593e-4,0.007632526363412518,0.0015074917242704528
1021,7.310125482870045e-5,0.0012783570488639814,3.5792330688754474e-4
1022,1.694547049286746e-4,0.0018308570963707636,3.6683218168784515e-4
1023,5.213254172461803e-5,0.005269155821577079,4.4011735200365557e-4
1024,2.03558838085053e-4,0.0033395239759672485,0.001036354782686795
1025,4.2840255029598164e-5,0.0027172311260560454,4.733733179889868e-4
1026,1.874066560135787e-4,0.002453126490405459,6.217559951169735e-4
1027,1.9392107359008105e-4,0.003415643754890822,0.0010373423534858553
1028,1.6229846065088973e-4,0.003521891107037881,0.0012123986853572095
1029,1.981174542904168e-4,0.003502949274950459,0.0014162416038476934
1030,3.1684634598228045e-4,0.004937168890940421,0.0018081091428945144
1101,1.7827303753058314e-4,0.0038549547648232094,0.0014124657071619626
1102,3.4233284856935805e-5,0.004467183541379087,0.001060108360849657
1103,5.1768952132369546e-5,0.004134711378254065,5.84788354144122e-4
1104,3.7266394835809455e-4,0.0013320801115975732,5.945217693794559e-4
1105,1.7286794760443502e-4,0.0011594249751083626,6.207429202905849e-4
1106,1.6955738777193463e-4,0.00231073857242573,5.78675484734285e-4
1107,5.6108095095048405e-5,0.00594022432022128,0.0011073546149974471
1108,7.801623939470887e-5,0.003907469374682844,4.804593483351957e-4
1109,2.9353319935193103e-5,8.619445924821279e-4,3.9454248380996703e-4
1110,5.781506265919632e-5,0.00157046448496635,5.873618797172154e-4
1111,8.395843475780734e-5,0.008228987314304556,8.181713307025766e-4
1112,1.786368956209055e-4,0.0019551005081427514,9.044732351398012e-4
1113,1.1224649373089175e-4,0.002011308931777885,4.673924514843391e-4
1114,2.270842353915409e-5,0.007149539828672025,4.315695002122505e-4
1201,1.135048594290824e-4,0.0022511756747852145,4.0494490657711174e-4
1202,5.375706248910093e-5,0.00134505020043093,4.7693292741992087e-4
1203,4.1787209022805844e-5,0.022325943876446146,4.8314824823411754e-4
1204,1.506565790276458e-4,0.008139846688387863,4.2793908169811833e-4
1205,6.17167250159643e-4,0.0013992755722728248,9.104200830412097e-4
1206,1.2591960584337243e-4,0.0012355724639914712,4.893783402924e-4
1207,9.900370168173766e-5,0.001596158164974267,4.544596164885822e-4
1208,2.80246048498798e-5,6.250659694882144e-4,5.51911231717386e-4
1209,1.0237099426744974e-4,0.002476967237820293,7.085167696667559e-4
1210,1.4678140678572578e-4,0.00582919460742172,0.0010694915358502339
1211,1.481726681070298e-4,0.011195821859729501,5.252223234705379e-4
1301,7.317435590545505e-4,0.004847229674780146,0.0018022565352061105
1302,7.902344487124511e-4,0.006825530284924225,0.001940590535091323
1303,1.435105058840256e-4,0.0024743218904108577,5.108615338845672e-4
1304,6.218131149617045e-4,6.717105925065983e-4,6.467618537341513e-4
1305,1.8176478432171825e-4,1.8176478432171825e-4,1.8176478432171825e-4
1306,1.3921592239392956e-4,0.009541176299328014,6.769810799966095e-4
1307,3.1136406156722675e-4,3.737051995341994e-4,3.4253463055071307e-4
1308,1.6456830756814532e-4,0.013707969570365176,0.0018056380607795774
1309,0.006051912922630393,0.006051912922630393,0.006051912922630393
1401,2.810426095225542e-4,0.007519050136633496,0.0015967154286417283
1402,2.5668786401184413e-4,0.0075966661413052975,0.0021828860767503493
1403,0.001637890737814991,0.005612205195116992,0.0020036775570791638
1404,2.9123464193442e-4,0.00760589410111241,0.0019426083522957156
1405,9.554157460089752e-4,0.019445185664318618,0.0038476070351666685
1406,1.2492629851362322e-4,0.0042463509298511885,0.0020601639301581157
1407,9.640414867325994e-5,0.004976012822317477,0.001877902314231069
1408,3.917302364857446e-4,0.0035539280383265247,0.0015635252952628175
1501,5.8904511892232064e-5,0.003663695580693708,4.460832198018086e-4
1502,1.3836193382954373e-4,0.004229542241598597,0.0010420524227068835
1503,2.81219862844959e-4,5.757370220279891e-4,3.854564712689118e-4
1504,2.7869310443441614e-4,0.0053719103495874065,0.001628812048831533
1505,7.608604861828918e-4,0.003971848016961673,0.002258343197600011
1506,1.3341011234876133e-4,0.002409743527973157,8.56903473152607e-4
1507,0.0012981159197516712,0.0012981159197516712,0.0012981159197516712
1601,1.7232410521807095e-4,0.005732557744951833,0.0011506293920139914
1602,1.4063868716294596e-5,0.008576339907026137,0.0022121418610958625
1603,1.5668214430920307e-4,0.004904506284282152,7.163486898677511e-4
1604,8.063384498712503e-5,0.012120446629087105,0.0019954612865768348
1605,6.8324758984893e-5,0.006475092726950339,0.0015786143945132648
1606,2.029393026683046e-4,0.004907502208875652,5.833773720405277e-4
1701,6.365850606600909e-5,0.022298375978228552,0.001441437954967991
1702,1.3956835586962502e-4,0.007145353691794126,0.0020996448131645243
1703,4.1849851801830176e-4,0.01599888088826916,0.004735152537592832
1704,3.7424312788385104e-5,0.003154692372653093,4.6045790743790894e-4
1705,5.473743450887151e-5,0.0073138385823170015,7.834569696642583e-4
1706,1.518181352818593e-4,0.011057611586585225,0.002984673528515859
1707,1.3189522367379513e-4,0.017205525591241236,0.0013927795999883782
1708,4.401919946533969e-4,0.011153820942388055,0.002223755246721335
1709,7.531996510575703e-5,0.004903250436092328,0.001116270384203865
