NLAID,hcurv_min,hcurv_max,hcurv_median,vcurv_min,vcurv_max,vcurv_median,elev_min,elev_max,elev_median,slope_min,slope_max,slope_median,relief1000_min,relief1000_max,relief1000_median,relief500_min,relief500_max,relief500_median,relief100_min,relief100_max,relief100_median,relief50_min,relief50_max,relief50_median,dev1000_min,dev1000_max,dev1000_median,dev500_min,dev500_max,dev500_median,dev100_min,dev100_max,dev100_median,dev50_min,dev50_max,dev50_median
NLA06608-0401,-0.001860814103078233,0.0024179855009896153,4.553654572456942e-5,-0.0037234436717603022,0.002637764784396389,-7.610097811149972e-5,175,263,185.00000000000003,0,35.80680847167969,3.916765219679068,9,152,57.00000000000001,4,126,32,0,52,6.99999999999999,0,29,2.9999999999999982,-1.6010616616178108,3.407920879480493,-0.3594537109695625,-1.8120731905575898,3.248984006404913,-0.20299082108777258,-2.188362810169567,2.6340345742142697,-0.017594866533232573,-2.6666666666860595,2.6666666666860595,0.0014447174954198634
NLA06608-NELP-0955,-0.002210084981637801,0.0028602880813438955,1.61569008503326e-4,-0.0029553914117461605,0.0045115508618629825,-3.4764777849093147e-4,342,468,362,0,47.644142150878906,10.650431477077424,48,250,154.47002667415413,30,249,80.46977407847798,2,81,22.000000000000004,0,44,8,-1.1880604682606617,1.498749864611691,-0.6177731195688746,-0.9624676684032177,1.8466849010957567,-0.3350941317584511,-1.3275761379003568,1.6002562702518008,-0.054681427007304384,-1.4757295747452317,2,-0.011203120087233918
NLA06608-NELP-1330,-0.0024820189387875116,0.0019756163656515753,1.0194115910876095e-4,-0.0024309134317687586,0.0022843059928557754,3.8767600334286434e-4,369,456,394,0,28.096845626831055,7.041994763111276,46,167,113,26,129,54.000000000000014,3,35,11.999999999999998,1,18,5.000000000000002,-0.6685666388663583,1.8076339187684014,0.13406885075985556,-1.1202190287696456,1.8560634761315846,0.257886060646227,-1.5353903421583415,1.64606796958407,0.0374043257950445,-1.360827634879559,1.3333333333333144,0.03714145266525354
NLA06608-EMAP:ME012L,-0.0029802901007055134,0.0038467556853701746,1.5786221050653697e-5,-0.004109416168492473,0.004711226961379888,-5.778104579450783e-4,344,512,366,0,63.440792083740234,9.299040323222021,59,250,170.00000000000003,20,226,95.99999999999999,0,138,17,0,94,7,-1.2484493167983328,1.3033079327421477,-0.6020043582898083,-1.09320076444177,0.9857184367114458,-0.3821212288986246,-1.7349986467940444,1.4133390395761414,-0.07107300023268832,-1.7638342074057132,1.1547005383792517,-0.023661254875023803
NLA06608-NELP-3355,-0.0014302197272554244,0.0014451903809157723,-5.205720751743613e-6,-0.0025704152427150615,0.0019644689992486357,-4.442618112244535e-4,369,481,395.99999999999994,0,32.27757263183594,7.591255434355519,88,174,151,49,143,95,3,47,14.000000000000002,1,25,6.000000000000001,-1.2589614698089786,0.8193733145186199,-0.7725234679666808,-1.3560686548893837,0.5130256495964529,-0.49777638568528765,-1.8193612171690976,1.7639577683900822,-0.11630612953185768,-1.414213562373095,1.7638342074057132,-0.055983977603915956
NLA06608-ELS:1E3-012,-0.0027628560826040626,0.005343038101704268,-8.252738076115964e-5,-0.0022231257991325174,0.004216038043723773,-2.886635063352382e-4,371,469,411.00000000000006,0,30.558778762817383,9.793370185264033,78,163,116.99999999999999,42,156,80,3,49,15.000000000000002,1,24,6.000000000000001,-1.2060043917536334,1.08307588625621,-0.24229840889791188,-1.5059310001803992,1.08322217254088,-0.25951629052238684,-1.6761226744439037,1.3818260145218568,-0.06899769631803743,-1.3333333333333712,1.264991742134005,-0.025314126798979212
NLA06608-ELS:1E3-002,-0.0011052125226208467,5.4473173664926e-4,1.657845429999363e-5,-9.496915107525972e-4,6.212714770556596e-4,-1.365939881992343e-4,246,276,253.00000000000003,0,15.440853118896484,2.780288457870483,18,36,26.999999999999996,6,35,14.999999999999998,1,17,4,0,11,2,-1.5208313406619518,1.9504016091644727,-0.22713280067747776,-1.7426508604364686,2.2435291228371956,-0.03872430066705872,-1.9625924933807302,2.4645322205873637,0.07535169500043122,-1.833333333346682,2.6666666666860595,0
NLA06608-ELS:1E3-071,-0.0013071972537030715,0.0011863254544752719,-7.842365346845966e-5,-0.0012648565765254255,7.159117341336068e-4,-1.0720682729915533e-4,267,310,278,0,13.673035621643066,4.128932759539295,31,82,45.99999999999999,12,42,26,2,16,6.999999999999999,0,8,3.000000000000001,-1.1013952147728796,0.7541593924723308,-0.33906817819129526,-2.3904818395868626,1.3732523727188946,-0.3988748485502719,-1.7560242784618283,1.5336319724842853,-0.06709248196439911,-1.8490006540881947,1.7638342074057132,-0.02664732829801727
NLA06608-EMAP:ME254L,-0.001293523566840461,0.001015815571578535,-2.2415931202050583e-5,-0.0011419592084973699,0.0010012594808706074,-1.6421429095847976e-4,342,383,358.99999999999994,0,17.986968994140625,4.571431695680774,37,137,74,12,56,34,2,17,8,1,12,3.0000000000000004,-1.0125285721456045,1.6618456387756206,-0.21113525785899812,-1.7405581683286948,1.7694352580383217,0.1038650285358948,-1.5770699814504825,1.8694317443138773,0.1182498055104535,-1.8490006540509392,1.8490006540509392,0.0693975119443157
NLA06608-NELP-3586,-0.0020025089672467493,0.0012731391372197973,5.606696449251934e-6,-0.0026729172676511694,0.0013182218608729977,-5.600997341212884e-4,194,302,214,0,38.52853012084961,8.356710826944346,48,233,146,18,206,64,3,74,16,0,30,5.999999999999998,-1.7302351107562663,0.8364854083171611,-0.5390259685663442,-1.6142774774890278,1.3569684033239984,-0.28890408939454487,-1.3369406918814475,1.8036584623838048,-0.023927993993196457,-1.5118578920369088,1.539600717839013,6.893847172484336e-4
NLA06608-EMAP:ME011L,-0.00166821210635571,0.0013132067641409033,-5.871997201051233e-6,-0.0014641197771572115,0.0011690944279133997,-2.825373617834409e-4,295,336,311.00000000000006,0,24.79921531677246,4.8315682285389485,39,178,73,13,77,38,1,21,10,0,17,4,-1.514755323689984,0.463248910750687,-0.557534155955143,-1.527937059669413,1.2932526039166468,-0.19528040752590423,-1.765210847103654,1.9294245776751653,-0.00936735937592509,-2.357022603955185,1.9245008972987745,0.0016761419590910263
NLA06608-0657,-0.0018085195197379657,0.0012362396947780043,-3.7102142046192013e-005,-0.002200850486352477,0.0012717458167500293,-3.122632580871759e-4,272,316,286,0,19.83167266845703,5.691475909128174,26,73,49,16,71,32.99999999999999,1,27,10.999999999999998,0,14,4,-1.659167509465405,0.6340425907609469,-0.649169362979541,-1.5777461289609391,1.334257152613283,-0.22728968708493344,-1.749221914495735,1.436873966430327,0.007657571037030741,-1.7638342074057132,1.7638342073727127,0
