lagoslakeid,lake_glaciatedlatewisc,lake_lat_decdeg,lake_lon_decdeg,lake_huc12,ws_area_ha,ws_lake_arearatio
8056,Glaciated,46.31919692,-69.7540976,10100060106,1803.411411,12.70593116
7940,Glaciated,46.69743646,-67.80199008,10100041110,3816.901577,62.87269599
7571,Glaciated,46.72896297,-69.91647445,10100060305,329.116711,3.998410737
7667,Glaciated,46.05722371,-69.9086427,10100060101,2379.673484,30.35721206
7579,Glaciated,46.95288982,-68.84236748,10100030205,64.3474867,4.636135158
7777,Glaciated,46.71930379,-68.76564038,10100030102,2986.882919,27.84788447
8187,Glaciated,46.76559029,-68.72227015,10100030102,2719.788682,20.81588501
7699,Glaciated,46.13584987,-68.00887043,10100050302,1390.052567,87.21933483
8298,Glaciated,46.10843463,-67.93538301,10100050303,10055.87752,801.6691506
7757,Glaciated,46.21991636,-67.86574888,10100050306,105.3531769,8.862703139
7548,Glaciated,46.55083942,-69.39464896,10100020402,1013.373641,3.983302996
7802,Glaciated,46.25765252,-69.28776442,10100020105,1462.794902,2.952710348
8464,Glaciated,46.44852152,-69.20893003,10100020202,1440.549115,3.87921912
8319,Glaciated,47.00829716,-68.22066882,10100041103,7811.646677,12.29483082
7710,Glaciated,46.09444661,-68.03133876,10100050301,4233.699878,9.136839702
8462,Glaciated,46.35307156,-69.05743606,10100040202,228.5252179,5.899484596
7555,Glaciated,46.86501488,-68.70119569,10100030203,228.3112918,9.89701219
8180,Glaciated,46.41631862,-68.04768442,10100050203,413.9873908,10.29901283
7478,Glaciated,46.28928953,-67.87628547,10100050203,509.2272742,49.35659166
7620,Glaciated,46.32980082,-67.87175693,10100050203,142.0627197,29.613133
8338,Glaciated,46.47335435,-69.18002571,10100020203,1371.476092,3.512644393
7755,Glaciated,46.30331934,-69.18492175,10100020101,1346.410023,3.577766608
7654,Glaciated,46.65487364,-68.03381003,10100041008,1818.543131,12.37963067
7671,Glaciated,46.01472578,-69.96763193,10100060101,440.8452234,9.759865084
8361,Glaciated,46.02653797,-69.9789887,10100060101,85.75630314,8.074674647
7636,Glaciated,46.17158313,-69.88054634,10100060104,209.0616456,9.013067196
8489,Glaciated,46.93497943,-68.8938892,10100020601,691.0605502,4.738166479
7483,Glaciated,47.1923241,-68.47548704,10100030305,439.2147423,59.48592678
7673,Glaciated,47.2132285,-68.46665215,10100030304,262.2991838,13.63952604
7876,Glaciated,46.88339626,-67.83380595,10100041112,977.490888,24.00169133
8349,Glaciated,46.71123709,-67.80899384,10100041110,159.9102217,37.35643334
7616,Glaciated,46.26602701,-69.91177402,10100060104,33591.94942,66.0958034
8176,Glaciated,46.56812812,-69.14635802,10100020501,3260.131443,11.03960566
7929,Glaciated,46.28251494,-68.79621342,10100040103,2864.22614,5.053854402
7931,Glaciated,47.15402489,-68.2907658,10100030303,2998.571748,7.386390828
7977,Glaciated,46.9437157,-68.85341962,10100030205,58.36269797,9.634251272
8117,Glaciated,47.18982779,-68.46844728,10100030305,506.6462058,79.65789215
8447,Glaciated,46.69962777,-68.05921256,10100041008,1131.482643,23.22971814
8454,Glaciated,46.12376291,-68.02312125,10100050302,55.42974723,4.969951206
8040,Glaciated,46.96004092,-68.61522795,10100030207,43903.06727,46.3465051
7609,Glaciated,46.76852398,-68.49840901,10100030203,21383.23999,23.38228047
7668,Glaciated,46.0999364,-67.92406329,10100050303,715.6079617,7.266189997
7936,Glaciated,46.32791086,-69.15282055,10100020101,208.0201667,12.59431806
8136,Glaciated,46.4314245,-69.11458718,10100040201,1119.516628,22.36199037
8398,Glaciated,47.06021823,-68.90527911,10100080102,74.14499724,6.792940151
7821,Glaciated,46.96597294,-68.85574855,10100030205,393.3946432,3.509667976
8106,Glaciated,47.1048192,-68.69880698,10100030401,359.9198006,9.018240568
8515,Glaciated,47.24588347,-68.45996,10100030402,191.1384436,15.72662748
7754,Glaciated,46.56564874,-68.32336249,10100040901,275.5911517,39.25195552
7502,Glaciated,46.96182993,-68.89030337,10100030205,732.7809308,6.390483019
7533,Glaciated,46.27740696,-69.79481285,10100060107,1943.038809,40.31847295
8450,Glaciated,47.04619773,-68.88932437,10100080101,720.0681332,21.38011796
7890,Glaciated,47.164141,-68.80997902,10100080503,270.4756398,10.23393352
7587,Glaciated,47.20061329,-68.71928246,10100080503,609.46081,12.90546654
8255,Glaciated,46.5912671,-69.37415059,10100020403,16522.1035,31.33146
8234,Glaciated,46.76442901,-69.26771043,10100020704,17600.21525,58.38563019
7880,Glaciated,46.62732892,-69.17025025,10100020502,7229.269748,23.5317265
7728,Glaciated,46.52020681,-69.12908309,10100020501,471.9785848,1.862611942
8372,Glaciated,46.28789326,-68.4352982,10100040402,3451.31376,11.67158162
8422,Glaciated,46.0365827,-69.9463977,10100060101,1829.780938,20.4882114
7653,Glaciated,46.38827657,-69.73881854,10100060105,171.467629,5.933504745
8420,Glaciated,46.59952535,-69.1467188,10100020501,2556.490499,16.17169893
7734,Glaciated,46.33452784,-69.05212906,10100040101,180.7997356,21.6519312
7815,Glaciated,46.9441098,-68.87140647,10100030205,67.79813972,6.027733835
8169,Glaciated,46.97463302,-68.8379332,10100030205,226.9922358,3.807459587
7772,Glaciated,46.13511035,-68.03850733,10100050302,2652.184602,71.88253435
8297,Glaciated,46.61748072,-68.00577235,10100041008,375.1559805,11.0290921
7741,Glaciated,46.45548903,-67.86326631,10100100205,103.3465261,11.14431805
7749,Glaciated,46.12320134,-69.89951513,10100060102,5837.541222,21.21487289
7906,Glaciated,46.37323363,-68.9861725,10100040202,8200.233434,12.67126391
8501,Glaciated,47.10526824,-68.72264388,10100030401,5126.029052,93.67581985
7693,Glaciated,46.02939487,-69.9581374,10100060101,217.5328881,15.4310275
8131,Glaciated,46.34226971,-69.08084437,10100040202,121.5745385,11.839319
8189,Glaciated,45.25662817,-69.7311731,10200040102,3241.897399,6.985765677
8115,Glaciated,45.97506999,-70.16212448,10200010104,2968.275217,11.26030052
