lagoslakei,hcurv_min,hcurv_max,hcurv_median,vcurv_min,vcurv_max,vcurv_median,elev_min,elev_max,elev_median,slope_min,slope_max,slope_median,relief1000_min,relief1000_max,relief1000_median,relief500_min,relief500_max,relief500_median,relief100_min,relief100_max,relief100_median,relief50_min,relief50_max,relief50_median,dev1000_min,dev1000_max,dev1000_median,dev500_min,dev500_max,dev500_median,dev100_min,dev100_max,dev100_median,dev50_min,dev50_max,dev50_median
64985,-0.001677167,0.001925939,1.15e-4,-0.001791156,0.002049439,6.91e-5,400,422,409,0,13.64822339,3.943766826,10,24,15,8,24,14,1,17,7,0,9,3,-1.57024514,2.236074851,0.134394559,-1.517477048,2.350932484,0.257465831,-2.290203346,1.870715597,0.109483549,-2.357022604,1.763834207,0.076447224
7971,-0.001858834,0.002520627,7.33e-5,-0.00171323,0.002588603,4.71e-5,193,238,207,0,21.43615933,4.164700655,17,55,37,8,46,21,1,22,8,0,15,3,-1.200266709,2.753924887,-0.274098854,-1.591509731,3.393260551,-0.04634461,-2.106952342,3.932957323,0.080294019,-2.141213516,2.177324216,0.001363999
7961,-0.001760846,0.002340488,4.57e-5,-0.003469512,0.002565431,-4.69e-5,177,235,189,0,39.2590924,5.064934177,22,65,44,11,63,27,0,43,9,0,33,4,-1.215537669,2.672473856,-0.302286572,-1.581818939,3.806947465,-0.10987211,-2.052159551,2.378493287,0.013260455,-2.067546245,1.763834207,0
8031,-0.001398434,0.002270944,8.25e-5,-0.002861104,0.002274631,-1.64e-5,119,191,130,0,23.86364791,4.543647578,14,126,51,9,75,28,0,28,8,0,15,3,-1.365932254,2.383270069,-0.27397635,-1.377563781,2.389368818,-0.101794066,-1.719901599,1.593018931,0.055431485,-2.666666667,1.849000654,0.001035421
98081,-0.001594689,0.002335813,1.1e-4,-0.001434278,0.001739385,2.25e-5,378,406,386,0,14.46846128,3.258171241,8,45,25,5,39,13,1,19,6,0,9,3,-1.221435675,1.835244525,0.100172648,-1.633329221,3.570633359,0.297096244,-2.004087335,2.034666433,0.10926137,-2.666666667,2.666666667,0.05252852
8226,-0.001852833,0.0025920130000000002,7.32e-5,-0.001821918,0.002802693,1.65e-4,64,94,77,0,26.7790974,4.245377308,16,62,31,10,38,18,0,20,8,0,19,4,-1.667475586,1.589791606,-0.068994731,-1.699860322,1.946511141,0.179694449,-1.952937086,1.981387054,0.116995079,-2.666666667,1.885618083,0.044150013
81822,-8.67e-4,0.001572404,2.31e-5,-0.001636979,0.001482786,-2.28e-5,436,465,444,0,15.22668799,3.096615695,9,52,22,4,30,14,0,16,6,0,12,3,-1.173354295,2.248179512,-0.101215282,-1.170186407,2.34293768,0.021696915,-1.859912818,2.025370544,0.069842543000000007,-2.357022604,2.666666667,0
114491,-0.001176094,0.001565998,8.45e-5,-0.002188643,0.002184462,2.61e-4,375,411,392,0,25.14233716,4.834615665,17,38,25,13,36,23,0,28,10,0,18,4,-1.638557886,1.752261717,0.055786946,-1.397188031,1.659288139,0.241598502,-1.777786168,2.237751963,0.140934361,-2.666666667,1.833333333,0.046916385
8406,-0.002167814,0.004524724,1.47e-5,-0.002711955,0.004557826,-7.65e-5,16,69,34,0,25.86012098,7.807434797,31,144,84,16,82,45,1,31,14,0,17,5,-1.514160947,1.335042691,-0.616960159,-1.46890822,1.825916891,-0.243195601,-1.524001524,1.711595295,0.006863073,-1.829318242,2.286647802,0.005873485
8417,-0.001085526,0.001800641,6.87e-5,-0.001598173,0.001690864,1.3e-4,91,125,100,0,14.98171912,3.168280339,11,60,30,8,48,14,2,18,6,0,10,3,-1.387020834,1.42974166,-0.070151149,-1.607909855,2.133357491,0.194964482,-1.799540992,2.292757306,0.109531961,-1.849000654,1.885618083,0.054729824
65643,-0.001833353,0.001422915,3.66e-5,-0.001657206,0.00186197,1.45e-4,289,306,298,0,19.17618555,3.068322842,9,22,12,8,17,10,1,17,6,0,14,3,-2.126835044,2.350846988,0.389476373,-2.041244365,2.366292294,0.35801055,-2.377188892,2.275725326,0.169348746,-1.791957341,1.849000654,0.069359835
8517,-0.002015841,0.001805587,1.3e-4,-0.002816999,0.001848839,-2.94e-4,157,235,175,0,28.35827984,10.05125713,57,134,103,26,112,69,1,36,16,0,19,7,-1.40742009,1.011406799,-0.599580615,-1.292291456,1.251978334,-0.354659847,-1.503334868,1.036562436,-0.007987404,-1.466666667,1.083333333,0
65941,-9.33e-4,0.001286267,8.27e-6,-9.75e-4,0.001197523,8.34e-5,383,402,390,0,13.71525091,2.882803623,13,36,24,7,26,14,1,14,6,0,11,2,-1.554692609,0.945341939,-0.227162893,-1.4459886,2.188146698,0.101695997,-1.712127997,1.954845147,0.118746899,-2.666666667,1.833333333,4.72e-4
9258,-9.16e-4,9.68e-4,4.25e-5,-8.47e-4,0.001155001,3.8e-5,432,443,436,0,12.1297141,1.854334169,5,21,13,4,18,8,1,10,4,0,8,2,-1.648528659,2.18184054,-0.132909526,-1.94891932,2.27676867,0.107748696,-1.852000196,2.181212968,0.044933672,-2,2,0
123609,-0.00204445,0.002199749,1.07e-4,-0.002907515,0.002916716,-1.7e-5,582,657,606,0,36.37690489,10.11173018,37,80,59,23,79,52,0,56,19,0,27,7,-1.684734513,2.123028584,-0.507268214,-1.425910123,1.453303941,-0.27429573,-1.364807147,2.144190603,0.03873706,-1.885618083,1.663214816,0.037844057
107289,-0.001243239,0.002608531,2.34e-5,-0.002093964,0.002761871,1.36e-4,387,413,397,0,20.20016467,3.306520139,12,26,17,8,25,14,1,19,6,0,12,2,-1.380916874,2.043270053,0.024727429,-1.647907802,1.832814463,0.134021282,-2.088147591,1.971150453,0.110436791,-1.988269694,2.666666667,0.050451281
50743,-0.001315884,0.002680358,7.55e-5,-0.001512904,0.003012608,1.07e-4,400,431,412,0,27.95075692,4.562839801,14,38,21,10,33,19,0,22,8,0,20,4,-1.565271881,3.686259529,0.013521922,-1.196566149,3.089611773,0.23334613,-1.715223085,2.418183286,0.140659226,-1.763834207,1.988269694,0.086402914
100047,-8.76e-4,0.001010056,5.74e-5,-7.87e-4,0.00107578,5.71e-5,255,266,259,0,11.84419058,2.227215242,7,17,11,5,14,8,1,11,4,0,9,2,-1.744262265,2.724265367,0.23636399,-1.656610868,2.70879551,0.139088365,-2.088147591,1.968039856,0.140955329,-2.666666667,1.885618083,0
27439,-0.001219777,0.001808752,-8.1e-6,-0.001249772,0.001463494,2.21e-4,397,415,407,0,21.04543273,2.835062823,9,27,14,6,23,11,1,17,6,0,16,2,-1.878298877,2.681631712,0.360680903,-1.626815455,2.741929929,0.455292489,-2.12558191,2.023607717,0.171259567,-2,2.666666667,0.0749497
126050,-0.002560431,0.00300638,1.97e-4,-0.002505307,0.002938567,1.99e-4,405,436,420,0,26.93369227,6.085557301,15,36,23,13,32,21,2,26,11,0,20,5,-1.953104572,2.386935942,0.171873868,-1.744456925,2.357309622,0.29719824,-2.23523745,1.940285,0.174725408,-2.121320344,1.663214816,0.086169822
134735,-0.001574645,0.002086761,-7.35e-6,-0.00134782,0.002019481,3.54e-5,415,443,428,0,12.84031303,4.627367506,18,36,25,13,31,20,2,17,9,1,9,4,-2.088076495,2.207217766,-0.202786755,-2.042579144,2.626555531,0.045462695,-1.63178463,1.761262634,0.023667737,-1.763834207,1.763834207,0
45217,-0.002223289,0.002207257,1.38e-4,-0.00184896,0.001913376,2.5e-4,403,430,415,0,24.95200419,3.919279348,11,33,18,8,27,15,2,21,7,0,17,3,-2.002226289,1.998790851,0.264723096,-1.695164833,2.196399968,0.367912116,-2.21076732,2.341781556,0.173042388,-1.924500897,2.666666667,0.077236165
53589,-0.001705931,0.002142097,9.95e-5,-0.002917097,0.003985647,7.75e-5,427,471,435,0,32.46908621,3.296817589,8,69,26,5,45,17,0,29,6,0,23,3,-1.386748278,1.988059697,0.072163066,-1.969793761,3.09743104,0.206042783,-1.902321191,2.50645274,0.077608113,-2,2.035526756,0.049056471
119350,-0.001397913,0.001302115,1.13e-4,-0.001724109,0.001675154,6.86e-5,422,449,430,0,22.09387486,3.094710498,10,32,19,7,28,13,0,15,6,0,15,3,-1.243053288,2.428310262,0.070864893,-1.637929594,2.536258816,0.306586836,-1.832312239,2.12558191,0.118308619,-2,2,0
70358,-0.002295022,0.002487343,1.68e-4,-0.002934866,0.002004456,-2.29e-4,479,534,489,0,22.35085125,6.19915492,39,124,78,16,110,46,0,36,12,0,15,5,-1.124318081,1.608924625,-0.553546016,-1.065273009,1.753964222,-0.365486999,-1.913967344,1.916624077,0.006001016,-1.707158399,2.141213516,0
