nr,task_id,learner_id,resampling_id,iters,regr.rmse,regr.rsq,regr.mae,regr.pbias
1,maxdepth,hollister,repeated_spcv_coords,64,8.134051795828963,0.25069799669519005,5.06856704685348,-0.7331064857800789
2,maxdepth,heathcote,repeated_spcv_coords,64,9.818154087555646,0.0038750467643242185,5.552101164255468,-0.3536719577122586
3,maxdepth,sobek,repeated_spcv_coords,64,8.925579473114068,0.14972298078913,5.533347675841411,-0.6532148809037097
4,maxdepth,oliver,repeated_cv,64,8.300232087252759,0.167024377859441,4.6292606373023215,-0.28549279592886334
